	CARD Sequence ID	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	NCBI Family
315	OXA-401	OXA-401	AIS39034.1	carbapenem/cephalosporin/penam	OXA-401	WP_063862759.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
316	OXA-444	OXA-444	BAQ55594.1	carbapenem/cephalosporin/penam	OXA-444	WP_045219469.1	carbapenem	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
317	OXA-483	OXA-483	AKF41840.1	carbapenem/cephalosporin/penam	OXA-483	WP_063864109.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
318	OXA-140	OXA-140	ALL27283.1	carbapenem/cephalosporin/penam	OXA	WP_001334766.1	beta-lactam	oxacillin-hydrolyzing class D beta-lactamase
319	OXA-262	OXA-262	ENW50687.1	carbapenem/cephalosporin/penam	OXA-262	WP_005132156.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
320	OXA-297	OXA-297	ENX09209.1	carbapenem/cephalosporin/penam	OXA-297	WP_005227858.1	beta-lactam	OXA-294 family class D beta-lactamase
321	OXA-403	OXA-403	AIM47095.1	carbapenem/cephalosporin/penam	OXA-403	WP_063862760.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
322	OXA-103	OXA-103	ENV88740.1	carbapenem/cephalosporin/penam	OXA-103	WP_005025422.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
323	OXA-263	OXA-263	ENW43915.1	carbapenem/cephalosporin/penam	OXA-263	WP_002133528.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
324	OXA-298	OXA-298	ENX40034.1	carbapenem/cephalosporin/penam	OXA-298	WP_005282462.1	beta-lactam	OXA-294 family class D beta-lactamase
325	OXA-404	OXA-404	AIM47096.1	carbapenem/cephalosporin/penam	OXA-404	WP_063862761.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
326	OXA-446	OXA-446	AKI29907.1	carbapenem/cephalosporin/penam	OXA-446	WP_063864084.1	beta-lactam	OXA-184 family class D beta-lactamase
327	OXA-484	OXA-484	ALI16502.1	carbapenem/cephalosporin/penam	OXA-484	WP_063864110.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
328	OXA-122	OXA-122	ABX45061.1	carbapenem/cephalosporin/penam	OXA-122	WP_063861030.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
329	OXA-264	OXA-264	ENW20318.1	carbapenem/cephalosporin/penam	OXA-264	WP_005087154.1	carbapenem	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
330	OXA-299	OXA-299	ENV82218.1	carbapenem/cephalosporin/penam	OXA-299	WP_005011312.1	beta-lactam	class D beta-lactamase
331	OXA-405	OXA-405	AJA30430.1	carbapenem/cephalosporin/penam	OXA-405	WP_063862762.1	cephalosporin	OXA-48 family extended-spectrum class D beta-lactamase
332	OXA-447	OXA-447	AKI29908.1	carbapenem/cephalosporin/penam	OXA-447	WP_002934081.1	beta-lactam	OXA-184 family class D beta-lactamase
333	OXA-485	OXA-485	KSG40284.1	carbapenem/cephalosporin/penam	OXA-485	WP_033954903.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
334	OXA-123	OXA-123	ABX45062.1	carbapenem/cephalosporin/penam	OXA-123	WP_063861031.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
335	OXA-265	OXA-265	RFX69805.1	carbapenem/cephalosporin/penam	OXA-265	WP_005088661.1	carbapenem	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
336	OXA-300	OXA-300	ENV20093.1	carbapenem/cephalosporin/penam	OXA-300	WP_004825629.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
337	OXA-406	OXA-406	AJD07402.1	carbapenem/cephalosporin/penam	OXA-406	WP_063862763.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
338	OXA-448	OXA-448	AKI29909.1	carbapenem/cephalosporin/penam	OXA-448	WP_063864085.1	beta-lactam	OXA-184 family class D beta-lactamase
339	OXA-486	OXA-486	QBY97442.1	carbapenem/cephalosporin/penam	OXA-486	WP_003161965.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
340	OXA-124	OXA-124	ABX45063.1	carbapenem/cephalosporin/penam	OXA-124	WP_063861032.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
341	OXA-266	OXA-266	ENV38192.1	carbapenem/cephalosporin/penam	OXA-266	WP_004878009.1	beta-lactam	class D beta-lactamase
342	OXA-301	OXA-301	ENV90372.1	carbapenem/cephalosporin/penam	OXA-301	WP_005034514.1	carbapenem	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
343	OXA-407	OXA-407	AJD07403.1	carbapenem/cephalosporin/penam	OXA-407	WP_039208445.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
344	OXA-449	OXA-449	AKI29910.1	carbapenem/cephalosporin/penam	OXA-449	WP_002893358.1	beta-lactam	OXA-184 family class D beta-lactamase
345	OXA-453	OXA-453	AKI29919.1	carbapenem/cephalosporin/penam	OXA-453	WP_038851696.1	beta-lactam	OXA-61 family class D beta-lactamase
346	OXA-488	OXA-488	TKV86805.1	carbapenem/cephalosporin/penam	OXA-488	WP_003097028.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
347	OXA-125	OXA-125	ABX45064.1	carbapenem/cephalosporin/penam	OXA-125	WP_063861033.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
348	OXA-267	OXA-267	ENV93423.1	carbapenem/cephalosporin/penam	OXA-267	WP_005041180.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
349	OXA-302	OXA-302	ENX18112.1	carbapenem/cephalosporin/penam	OXA-302	WP_005238189.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
350	OXA-408	OXA-408	AJD07404.1	carbapenem/cephalosporin/penam	OXA-408	WP_063862764.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
351	OXA-450	OXA-450	AKI29914.1	carbapenem/cephalosporin/penam	OXA-450	WP_042962442.1	beta-lactam	OXA-61 family class D beta-lactamase
352	OXA-455	OXA-455	ALC76097.1	carbapenem/cephalosporin/penam	OXA-455	WP_054428802.1	beta-lactam	OXA-364 family class D beta-lactamase
353	OXA-126	OXA-126	ABX45065.1	carbapenem/cephalosporin/penam	OXA-126	WP_002047441.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
354	OXA-436	OXA-436	ARX76025.1	carbapenem/cephalosporin/penam	OXA-436	WP_058842180.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
355	OXA-535	OXA-535	AOQ26572.1	carbapenem/cephalosporin/penam	OXA-535	WP_089067012.1	beta-lactam	OXA-48 family class D beta-lactamase
356	OXA-127	OXA-127	ABX45066.1	carbapenem/cephalosporin/penam	OXA-127	WP_063861034.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
357	OXA-268	OXA-268	ENU09033.1	carbapenem/cephalosporin/penam	OXA-268	WP_003651390.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
358	OXA-269	OXA-269	EOQ63861.1	carbapenem/cephalosporin/penam	OXA-269	WP_016138346.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
359	OXA-303	OXA-303	ENX56371.1	carbapenem/cephalosporin/penam	OXA-303	WP_005317413.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
360	OXA-409	OXA-409	AJD07405.1	carbapenem/cephalosporin/penam	OXA-409	WP_063862765.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
361	OXA-451	OXA-451	AKI29916.1	carbapenem/cephalosporin/penam	OXA-451	WP_052805187.1	beta-lactam	OXA-61 family class D beta-lactamase
362	OXA-457	OXA-457	ALC76098.1	carbapenem/cephalosporin/penam	OXA-457	WP_063864087.1	beta-lactam	class D beta-lactamase
363	OXA-151	OXA-151	SUA76968.1	carbapenem/cephalosporin/penam	OXA-151	WP_048806429.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
364	OXA-270	OXA-270	EOQ69512.1	carbapenem/cephalosporin/penam	OXA-270	WP_016141238.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
365	OXA-304	OXA-304	ENX45276.1	carbapenem/cephalosporin/penam	OXA-304	WP_005304617.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
366	OXA-411	OXA-411	AJD07406.1	carbapenem/cephalosporin/penam	OXA-411	WP_063862766.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
367	OXA-452	OXA-452	AKI29917.1	carbapenem/cephalosporin/penam	OXA-452	WP_020836977.1	beta-lactam	OXA-61 family class D beta-lactamase
368	OXA-458	OXA-458	ALC76100.1	carbapenem/cephalosporin/penam	OXA-458	WP_063864088.1	beta-lactam	class D beta-lactamase
369	OXA-152	OXA-152	ALA99186.1	carbapenem/cephalosporin/penam	OXA-152	WP_063861050.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
370	OXA-271	OXA-271	EOQ72432.1	carbapenem/cephalosporin/penam	OXA-271	WP_016145058.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
371	OXA-305	OXA-305	ENV02983.1	carbapenem/cephalosporin/penam	OXA-305	WP_004792810.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
372	OXA-412	OXA-412	AJD07407.1	carbapenem/cephalosporin/penam	OXA-412	WP_063862767.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
373	OXA-459	OXA-459	ALC76101.1	carbapenem/cephalosporin/penam	OXA-459	WP_063864089.1	beta-lactam	class D beta-lactamase
374	OXA-153	OXA-153	CFB60580.1	carbapenem/cephalosporin/penam	OXA-153	WP_048627819.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
375	OXA-272	OXA-272	ENW16915.1	carbapenem/cephalosporin/penam	OXA-272	WP_005076320.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
376	OXA-306	OXA-306	ENX38336.1	carbapenem/cephalosporin/penam	OXA-306	WP_005297518.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
377	OXA-413	OXA-413	AJD07408.1	carbapenem/cephalosporin/penam	OXA-413	WP_063862768.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
378	OXA-460	OXA-460	ATL95930.1	carbapenem/cephalosporin/penam	OXA-460	WP_002788004.1	beta-lactam	OXA-61 family class D beta-lactamase
379	OXA-154	OXA-154	SNU87672.1	carbapenem/cephalosporin/penam	OXA-154	WP_063861062.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
380	OXA-273	OXA-273	ENW12288.1	carbapenem/cephalosporin/penam	OXA-273	WP_005069609.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
381	OXA-414	OXA-414	AJD07401.1	carbapenem/cephalosporin/penam	OXA-414	WP_063862769.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
382	OXA-461	OXA-461	AKI29921.1	carbapenem/cephalosporin/penam	OXA-461	WP_038813458.1	beta-lactam	OXA-61 family class D beta-lactamase
383	OXA-155	OXA-155	ALA99189.1	carbapenem/cephalosporin/penam	OXA-155	WP_063861067.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
384	OXA-275	OXA-275	ENV18923.1	carbapenem/cephalosporin/penam	OXA-275	WP_004816501.1	carbapenem	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
385	OXA-308	OXA-308	ENV32314.1	carbapenem/cephalosporin/penam	OXA-308	WP_004867933.1	beta-lactam	class D beta-lactamase
386	OXA-416	OXA-416	AKH90740.1	carbapenem/cephalosporin/penam	OXA-416	WP_063862782.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
387	OXA-464	OXA-464	ANW35663.1	carbapenem/cephalosporin/penam	OXA-464	WP_046991607.1	beta-lactam	class D beta-lactamase
388	OXA-156	OXA-156	SUA92210.1	carbapenem/cephalosporin/penam	OXA-156	WP_052266736.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
389	OXA-276	OXA-276	ENV13583.1	carbapenem/cephalosporin/penam	OXA-276	WP_004814035.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
390	OXA-336	OXA-336	AHN07452.1	carbapenem/cephalosporin/penam	OXA-336	WP_063862707.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
391	OXA-430	OXA-430	WP_063862927.1	carbapenem/cephalosporin/penam	OXA-430	WP_063862927.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
392	OXA-417	OXA-417	AIU44173.1	carbapenem/cephalosporin/penam	OXA-417	WP_057089822.1	carbapenem	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
393	OXA-465	OXA-465	AKI29912.1	carbapenem/cephalosporin/penam	OXA-465	WP_052793969.1	beta-lactam	OXA-184 family class D beta-lactamase
394	OXA-664	OXA-664	EOR02560.1	carbapenem/cephalosporin/penam	OXA	WP_104442312.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
395	OXA-665	OXA-665	EPF70268.1	carbapenem/cephalosporin/penam	OXA-665	WP_016657654.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
396	OXA-157	OXA-157	ALA99191.1	carbapenem/cephalosporin/penam	OXA-157	WP_058375744.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
397	OXA-274	OXA-274	EPH38243.1	carbapenem/cephalosporin/penam	OXA-274	WP_004725235.1	carbapenem	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
398	OXA-286	OXA-286	ENU21708.1	carbapenem/cephalosporin/penam	OXA-286	WP_004657207.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
399	OXA-277	OXA-277	ENV45890.1	carbapenem/cephalosporin/penam	OXA-277	WP_004897444.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
400	OXA-337	OXA-337	RIL13772.1	carbapenem/cephalosporin/penam	OXA-337	WP_032025569.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
401	OXA-663	OXA-663	OWG16436.1	carbapenem/cephalosporin/penam	OXA-663	WP_032410229.1	beta-lactam	OXA-10 family class D beta-lactamase
402	OXA-427	OXA-427	ARO85965.1	carbapenem/cephalosporin/penam	OXA-427	WP_096807440.1	carbapenem	carbapenem-hydrolyzing class D beta-lactamase
403	OXA-466	OXA-466	AKI29913.1	carbapenem/cephalosporin/penam	OXA-466	WP_063864091.1	beta-lactam	OXA-184 family class D beta-lactamase
404	OXA-158	OXA-158	ALA99192.1	carbapenem/cephalosporin/penam	OXA-158	WP_063861081.1	carbapenem	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
405	OXA-279	OXA-279	ENU35234.1	carbapenem/cephalosporin/penam	OXA-279	WP_004683508.1	beta-lactam	class D beta-lactamase
406	OXA-339	OXA-339	AHN07456.1	carbapenem/cephalosporin/penam	OXA-339	WP_063862711.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
407	OXA-429	OXA-429	AJG01375.1	carbapenem/cephalosporin/penam	OXA-429	WP_063862915.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
408	OXA-470	OXA-470	ALC79285.1	carbapenem/cephalosporin/penam	OXA-470	WP_063864093.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
409	OXA-724	OXA-724	CAB76928.1	carbapenem/cephalosporin/penam	OXA-724	WP_077096319.1	beta-lactam	OXA-12 family class D beta-lactamase
410	OXA-185	OXA-185	AFO09969.1	carbapenem/cephalosporin/penam	OXA-185	WP_063861300.1	beta-lactam	OXA-184 family class D beta-lactamase
411	OXA-280	OXA-280	ENV74419.1	carbapenem/cephalosporin/penam	OXA-280	WP_004977701.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
412	OXA-340	OXA-340	OTK94966.1	carbapenem/cephalosporin/penam	OXA-340	WP_057053864.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
413	OXA-471	OXA-471	ALC79286.1	carbapenem/cephalosporin/penam	OXA-471	WP_063864094.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
414	OXA-234	OXA-234	WP_038350216.1	carbapenem/cephalosporin/penam	OXA-234	WP_038350216.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
415	OXA-281	OXA-281	ENU38533.1	carbapenem/cephalosporin/penam	OXA-281	WP_004697403.1	carbapenem	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
416	OXA-341	OXA-341	AHN07458.1	carbapenem/cephalosporin/penam	OXA-341	WP_063862712.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
417	OXA-431	OXA-431	AJG01377.1	carbapenem/cephalosporin/penam	OXA-431	WP_063862945.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
418	OXA-472	OXA-472	ALC79287.1	carbapenem/cephalosporin/penam	OXA-472	WP_063864095.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
419	OXA-252	OXA-252	ASF15667.1	carbapenem/cephalosporin/penam	OXA-252	WP_037428895.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
420	OXA-282	OXA-282	EKE23052.1	carbapenem/cephalosporin/penam	OXA-282	WP_004728961.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
421	OXA-342	OXA-342	AHN07460.1	carbapenem/cephalosporin/penam	OXA-342	WP_063862713.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
422	OXA-432	OXA-432	AJG01378.1	carbapenem/cephalosporin/penam	OXA-432	WP_063864076.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
423	OXA-473	OXA-473	ALC79288.1	carbapenem/cephalosporin/penam	OXA-473	WP_063864096.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
424	OXA-259	OXA-259	AGV04655.1	carbapenem/cephalosporin/penam	OXA-259	WP_001021784.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
425	OXA-283	OXA-283	ENU15301.1	carbapenem/cephalosporin/penam	OXA-283	WP_004647119.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
426	OXA-343	OXA-343	PCE45447.1	carbapenem/cephalosporin/penam	OXA-343	WP_063862714.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
427	OXA-433	OXA-433	AJG01379.1	carbapenem/cephalosporin/penam	OXA-433	WP_063864077.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
428	OXA-474	OXA-474	ALC79289.1	carbapenem/cephalosporin/penam	OXA-474	WP_063864097.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
429	OXA-260	OXA-260	ENU54757.1	carbapenem/cephalosporin/penam	OXA-260	WP_004715243.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
430	OXA-284	OXA-284	ENX16434.1	carbapenem/cephalosporin/penam	OXA-284	WP_005245537.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
431	OXA-344	OXA-344	AHN07462.1	carbapenem/cephalosporin/penam	OXA-344	WP_063862715.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
432	OXA-437	OXA-437	AKL59536.1	carbapenem/cephalosporin/penam	OXA-437	WP_063864079.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
433	OXA-475	OXA-475	ALC79290.1	carbapenem/cephalosporin/penam	OXA-475	WP_063864098.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
434	OXA-285	OXA-285	ENX26326.1	carbapenem/cephalosporin/penam	OXA-285	WP_005268230.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
435	OXA-345	OXA-345	AHN07463.1	carbapenem/cephalosporin/penam	OXA-345	WP_063862716.1	carbapenem	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
436	OXA-438	OXA-438	AKL59521.1	carbapenem/cephalosporin/penam	OXA-438	WP_063864080.1	carbapenem	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
437	OXA-476	OXA-476	ALC79291.1	carbapenem/cephalosporin/penam	OXA-476	WP_063864099.1	beta-lactam	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
438	OXA-837	OXA-837	QEE23059.1	carbapenem/cephalosporin/penam	OXA-837	WP_148281568.1	beta-lactam	class D beta-lactamase
439	OXA-899	OXA-899	QHT72949.1	carbapenem/cephalosporin/penam	OXA-899	WP_154205474.1	beta-lactam	OXA-22 family class D beta-lactamase
440	OXA-898	OXA-898	QHT72948.1	carbapenem/cephalosporin/penam	OXA-898	WP_154205589.1	beta-lactam	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
441	OXA-846	OXA-846	QEJ80883.1	carbapenem/cephalosporin/penam	OXA-846	WP_033989974.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
442	OXA-906	OXA-906	QIC04089.1	carbapenem/cephalosporin/penam	OXA-906	WP_034005326.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
443	OXA-850	OXA-850	QEJ80887.1	carbapenem/cephalosporin/penam	OXA-850	WP_034006563.1	beta-lactam	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
444	OXA-668	OXA-668	KEC85091.1	carbapenem/cephalosporin/penam	OXA-668	WP_034612711.1	carbapenem	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
445	OXA-818	OXA-818	QBQ03043.1	carbapenem/cephalosporin/penam	OXA-818	WP_034670108.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
446	OXA-812	OXA-812	QBQ03037.1	carbapenem/cephalosporin/penam	OXA-812	WP_034688190.1	carbapenem	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
447	OXA-544	OXA-544	OPD39420.1	carbapenem/cephalosporin/penam	OXA-544	WP_071537493.1	cephalosporin	OXA-2 family class D beta-lactamase
448	OXA-540	OXA-540	AHN60085.1	carbapenem/cephalosporin/penam	OXA-540	WP_071846203.1	beta-lactam	OXA-2 family class D beta-lactamase
449	OXA-779	OXA-779	WP_122634438.1	carbapenem/cephalosporin/penam	OXA-779	WP_122634438.1	beta-lactam	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
450	OXA-838	OXA-838	QEJ74001.1	carbapenem/cephalosporin/penam	OXA-838	WP_150823470.1	beta-lactam	OXA-2 family class D beta-lactamase
451	OXA-539	OXA-539	WP_071593233.1	carbapenem/cephalosporin/penam	OXA-539	WP_071593233.1	cephalosporin	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase
452	OXA-543	OXA-543	OPD39435.1	carbapenem/cephalosporin/penam	OXA-543	WP_058132644.1	cephalosporin	OXA-2 family class D beta-lactamase
453	OXA-681	OXA-681	WP_122630881.1	carbapenem/cephalosporin/penam	OXA-681	WP_122630881.1	cephalosporin	OXA-2 family inhibitor-resistant extended-spectrum class D beta-lactamase
454	OXA-737	OXA-737	WP_122630856.1	carbapenem/cephalosporin/penam	OXA-737	WP_122630856.1	beta-lactam	OXA-2 family class D beta-lactamase
455	OXA-541	OXA-541	CAQ77073.1	carbapenem/cephalosporin/penam	OXA-541	WP_071846384.1	beta-lactam	OXA-2 family class D beta-lactamase
456	OXA-835	OXA-835	WP_148044422.1	carbapenem/cephalosporin/penam	OXA-835	WP_148044422.1	beta-lactam	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
457	OXA-926	OXA-926	WP_114268491.1	carbapenem/cephalosporin/penam	OXA-926	WP_114268491.1	beta-lactam	class D beta-lactamase
458	OXA-570	OXA-570	WP_102607462.1	carbapenem/cephalosporin/penam	OXA-570	WP_102607462.1	carbapenem	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
459	OXA-573	OXA-573	WP_064808881.1	carbapenem/cephalosporin/penam	OXA-573	WP_064808881.1	carbapenem	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
460	OXA-571	OXA-571	WP_102607463.1	carbapenem/cephalosporin/penam	OXA-571	WP_102607463.1	carbapenem	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
461	OXA-672	OXA-672	WP_023271137.1	carbapenem/cephalosporin/penam	OXA-672	WP_023271137.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
462	OXA-671	OXA-671	WP_081401608.1	carbapenem/cephalosporin/penam	OXA-671	WP_081401608.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
463	OXA-673	OXA-673	WP_016162389.1	carbapenem/cephalosporin/penam	OXA-673	WP_016162389.1	carbapenem	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
464	OXA-931	OXA-931	WP_190259776.1	carbapenem/cephalosporin/penam	OXA-931	WP_190259776.1	beta-lactam	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
465	OXA-930	OXA-930	WP_151781119.1	carbapenem/cephalosporin/penam	OXA-930	WP_151781119.1	beta-lactam	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
466	OXA-895	OXA-895	WP_100886243.1	carbapenem/cephalosporin/penam	OXA-895	WP_100886243.1	beta-lactam	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
467	OXA-641	OXA-641	WP_109545072.1	carbapenem/cephalosporin/penam	OXA-641	WP_109545072.1	carbapenem	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase
468	OXA-496	OXA-496	WP_064483990.1	carbapenem/cephalosporin/penam	OXA-496	WP_064483990.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
469	OXA-915	OXA-915	WP_168370988.1	carbapenem/cephalosporin/penam	OXA-915	WP_168370988.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
470	OXA-648	OXA-648	WP_140423316.1	carbapenem/cephalosporin/penam	OXA-648	WP_140423316.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
471	OXA-646	OXA-646	WP_039902635.1	carbapenem/cephalosporin/penam	OXA-646	WP_039902635.1	carbapenem	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
472	OXA-649	OXA-649	WP_109545071.1	carbapenem/cephalosporin/penam	OXA-649	WP_109545071.1	carbapenem	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
473	OXA-897	OXA-897	WP_164461290.1	carbapenem/cephalosporin/penam	OXA-897	WP_164461290.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
474	OXA-653	OXA-653	WP_087554513.1	carbapenem/cephalosporin/penam	OXA-653	WP_087554513.1	carbapenem	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
