Accession	NCBI Family
WP_150823474.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_150823475.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_150823476.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_010793618.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_019485147.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_150823477.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_014603442.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_152315469.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_114252036.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_114158997.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_032061328.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_001021774.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315470.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315471.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315472.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315473.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315474.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315475.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315476.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315477.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315478.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315479.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315480.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315481.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315482.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315483.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315484.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315485.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315486.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315487.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315488.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315489.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315490.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315491.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315492.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315493.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315494.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315495.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315496.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315497.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315498.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315499.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315500.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315501.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315502.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315503.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315504.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_152315505.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_194293137.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_144376393.1	OXA-48 family class D beta-lactamase
WP_156404658.1	OXA-9 family oxacillin-hydrolyzing class D beta-lactamase
WP_178317675.1	carbapenem-hydrolyzing class D beta-lactamase
WP_031757092.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_024916334.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_164461291.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_003122322.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_003161096.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_164461292.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_031694184.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_162278338.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_162280230.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_168247884.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_040068451.1	OXA-12 family class D beta-lactamase
WP_031691948.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_023132404.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_171476790.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_161507793.1	OXA-427 family carbapenem-hydrolyzing class D beta-lactamase
WP_179284333.1	OXA-48 family class D beta-lactamase
WP_007879679.1	class D beta-lactamase
WP_179284336.1	OXA-48 family class D beta-lactamase
WP_179284339.1	OXA-1 family class D beta-lactamase
WP_188331876.1	OXA-48 family class D beta-lactamase
WP_179284342.1	OXA-48 family class D beta-lactamase
WP_179284345.1	OXA-48 family class D beta-lactamase
WP_100507493.1	class D beta-lactamase
WP_047480628.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_188331877.1	OXA-10 family class D beta-lactamase
WP_188331878.1	OXA-48 family class D beta-lactamase
WP_121331722.1	OXA-10 family class D beta-lactamase
WP_141989064.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_034081711.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_086263559.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_086261538.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_086442870.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_086395021.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_078225401.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_086398931.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_204376235.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_204376236.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_204376237.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_204376238.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_204376239.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
WP_081400730.1	class D beta-lactamase
ENU29139.1	class D beta-lactamase
WP_140423315.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063131934.1	OXA-48 family extended-spectrum class D beta-lactamase
WP_063569909.1	class D beta-lactamase
WP_063839877.1	bifunctional class C beta-lactamase/class D beta-lactamase fusion protein
WP_063860937.1	OXA-10 family class D beta-lactamase
WP_063860938.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063860939.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063860940.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063860941.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861004.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861020.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
WP_063861029.1	oxacillin-hydrolyzing class D beta-lactamase
WP_063861030.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861031.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861032.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861033.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861034.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861035.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
WP_063861036.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861037.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861038.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861039.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861040.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861041.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063861042.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063861043.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063861044.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861045.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063861046.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861047.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861048.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_063861049.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861050.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861062.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861067.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861081.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861093.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861101.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_063861121.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861123.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861129.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861133.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861136.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861140.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861151.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861157.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861179.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861185.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861191.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861208.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861213.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861221.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861229.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861237.1	extended-spectrum class D beta-lactamase
WP_063861266.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861272.1	OXA-10 family class D beta-lactamase
WP_063861300.1	OXA-184 family class D beta-lactamase
WP_063861309.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063861316.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063861475.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861482.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861486.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861490.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861505.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861547.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861553.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861560.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861567.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861588.1	OXA-46 family oxacillin-hydrolyzing class D beta-lactamase
WP_063861592.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861649.1	OXA-2 family class D beta-lactamase
WP_063861666.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063861677.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861712.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861733.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861765.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861776.1	benzylpenicillin-hydrolyzing class D beta-lactamase
WP_063861812.1	OXA-1 family class D beta-lactamase
WP_063861820.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861826.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_063861837.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063861840.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063862119.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862128.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862149.1	OXA-10 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862170.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862190.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862274.1	OXA-10 family class D beta-lactamase
WP_063862394.1	OXA-10 family class D beta-lactamase
WP_063862402.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862408.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862416.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862420.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862430.1	OXA-10 family class D beta-lactamase
WP_063862440.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862441.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862442.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862443.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862540.1	OXA-2 family oxacillin-hydrolyzing class D beta-lactamase
WP_063862593.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862598.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862603.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862605.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862613.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_063862622.1	OXA-1 family class D beta-lactamase
WP_063862632.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862638.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862643.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862646.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862651.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862656.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862662.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862667.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862674.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862682.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862690.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862693.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862698.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862702.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862707.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862710.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862711.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862712.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862713.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862714.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862715.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862716.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862717.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862718.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862719.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862720.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_063862721.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862722.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862723.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862724.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862725.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862726.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862727.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862728.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862729.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862730.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862731.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862732.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862733.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862734.1	OXA-364 family class D beta-lactamase
WP_063862735.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862736.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862737.1	oxacillin-hydrolyzing class D beta-lactamase
WP_063862738.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862739.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063862740.1	OXA-211 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862741.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862742.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862743.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862744.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862745.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862746.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862747.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862748.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862749.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862750.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862751.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862752.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862753.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862754.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862755.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862756.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862757.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862758.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862759.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862760.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862761.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862762.1	OXA-48 family extended-spectrum class D beta-lactamase
WP_063862763.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862764.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862765.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862766.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862767.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862768.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862769.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862782.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862796.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862802.1	oxacillin-hydrolyzing class D beta-lactamase
WP_063862810.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862828.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862833.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862915.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063862921.1	OXA-42 family oxacillin-hydrolyzing class D beta-lactamase
WP_063862945.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864076.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864077.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864078.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864079.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864080.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864081.1	OXA-48 family extended-spectrum class D beta-lactamase
WP_063864082.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864083.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864084.1	OXA-184 family class D beta-lactamase
WP_063864085.1	OXA-184 family class D beta-lactamase
WP_063864086.1	OXA-10 family class D beta-lactamase
WP_063864087.1	class D beta-lactamase
WP_063864088.1	class D beta-lactamase
WP_063864089.1	class D beta-lactamase
WP_063864090.1	oxacillin-hydrolyzing class D beta-lactamase
WP_063864091.1	OXA-184 family class D beta-lactamase
WP_063864092.1	OXA-1 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864093.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864094.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864095.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864096.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864097.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864098.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864099.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864100.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864101.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864102.1	OXA-63 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864106.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864108.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864109.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864110.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864111.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864223.1	OXA-2 family extended-spectrum class D beta-lactamase
WP_063864256.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063864264.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864500.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063864527.1	carbapenem-hydrolyzing class D beta-lactamase
WP_063864528.1	oxacillin-hydrolyzing class D beta-lactamase
WP_063864529.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864530.1	OXA-10 family oxacillin-hydrolyzing class D beta-lactamase
WP_063864531.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864532.1	OXA-10 family class D beta-lactamase
WP_063864533.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864534.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864535.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864536.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864537.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864539.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864540.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864541.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864542.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864543.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_063864544.1	OXA-58 family carbapenem-hydrolyzing class D beta-lactamase
WP_064056056.1	OXA-10 family extended-spectrum class D beta-lactamase
WP_071537493.1	OXA-2 family class D beta-lactamase
WP_071846203.1	OXA-2 family class D beta-lactamase
WP_071846384.1	OXA-2 family class D beta-lactamase
WP_075071939.1	carbapenem-hydrolyzing class D beta-lactamase
WP_075112279.1	OXA-12 family class D beta-lactamase
WP_077021671.1	class D beta-lactamase
WP_077096319.1	OXA-12 family class D beta-lactamase
WP_081174195.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
WP_081398973.1	class D beta-lactamase
WP_089067012.1	OXA-48 family class D beta-lactamase
WP_094865115.1	carbapenem-hydrolyzing class D beta-lactamase
WP_096807440.1	carbapenem-hydrolyzing class D beta-lactamase
WP_099156044.1	OXA-10 family class D beta-lactamase
WP_104442312.1	carbapenem-hydrolyzing class D beta-lactamase
WP_121306048.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_124125861.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_125064048.1	OXA-2 family class D beta-lactamase
WP_126584556.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_126622689.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_126861771.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_128296272.1	class D beta-lactamase
WP_148281568.1	class D beta-lactamase
WP_150823470.1	OXA-2 family class D beta-lactamase
WP_154205474.1	OXA-22 family class D beta-lactamase
WP_154205589.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
WP_163170629.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
WP_196658681.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_211816370.1	class D beta-lactamase
WP_213384363.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994595.1	OXA-114 family class D beta-lactamase
WP_213994596.1	OXA-114 family class D beta-lactamase
WP_213994597.1	OXA-12 family class D beta-lactamase
WP_213994598.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994599.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994600.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994601.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994602.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994603.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_213994604.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
WP_215763651.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_219860714.1	class D beta-lactamase
WP_219860726.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
WP_219860727.1	OXA-10 family class D beta-lactamase
WP_219860728.1	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase
WP_219860730.1	OXA-2 family class D beta-lactamase
WP_223146972.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_223146973.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
WP_231869587.1	OXA-1 family class D beta-lactamase
WP_231869591.1	OXA-48 family class D beta-lactamase
