	NCBI Sequence ID	NCBI Sequence Accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 symbol	AMRFinderPlus v3.10.40 with 2022-08-09.1 accession	AMRFinderPlus v3.10.40 with 2022-08-09.1 drug class	RGI v5.2.1 with v3.2.4 symbol	RGI v5.2.1 with v3.2.4 accession	RGI v5.2.1 with v3.2.4 drug class
400	OXA-654	WP_109791216.1	OXA-654	WP_109791216.1	carbapenem	OXA-654	WP_109791216.1	carbapenem/cephalosporin/penam
401	OXA-796	WP_110612827.1	OXA-796	WP_110612827.1	beta-lactam	OXA-796	WP_110612827.1	carbapenem/cephalosporin/penam
402	OXA-815	WP_111280830.1	OXA-815	WP_111280830.1	carbapenem	OXA-815	WP_111280830.1	carbapenem/cephalosporin/penam
403	OXA-657	WP_111672907.1	OXA-657	WP_111672907.1	carbapenem	OXA-657	WP_111672907.1	carbapenem/cephalosporin/penam
404	OXA-854	WP_114158997.1	OXA-854	WP_114158997.1	beta-lactam	OXA-854	WP_114158997.1	carbapenem/cephalosporin/penam
405	OXA-739	WP_114225343.1	OXA-739	WP_114225343.1	beta-lactam	OXA-739	WP_114225343.1	carbapenem/cephalosporin/penam
406	OXA-853	WP_114252036.1	OXA-853	WP_114252036.1	beta-lactam	OXA-853	WP_114252036.1	carbapenem/cephalosporin/penam
407	OXA-926	WP_114268491.1	OXA-926	WP_114268491.1	beta-lactam	OXA-926	WP_114268491.1	carbapenem/cephalosporin/penam
408	OXA-727	WP_114272532.1	OXA-727	WP_114272532.1	beta-lactam	OXA-727	WP_114272532.1	carbapenem/cephalosporin/penam
409	OXA-729	WP_114699266.1	OXA-729	WP_114699266.1	beta-lactam	OXA-729	WP_114699266.1	carbapenem/cephalosporin/penam
410	OXA-661	WP_114699273.1	OXA-661	WP_114699273.1	beta-lactam	OXA-661	WP_114699273.1	carbapenem/cephalosporin/penam
411	OXA-662	WP_114699274.1	OXA-662	WP_114699274.1	carbapenem	OXA-662	WP_114699274.1	carbapenem/cephalosporin/penam
412	OXA-659	WP_114699276.1	OXA-659	WP_114699276.1	beta-lactam	OXA-659	WP_114699276.1	carbapenem/cephalosporin/penam
413	OXA-660	WP_114699279.1	OXA-660	WP_114699279.1	beta-lactam	OXA-660	WP_114699279.1	carbapenem/cephalosporin/penam
414	OXA-731	WP_116786833.1	OXA-731	WP_116786833.1	beta-lactam	OXA-731	WP_116786833.1	carbapenem/cephalosporin/penam
415	OXA-728	WP_116786835.1	OXA-728	WP_116786835.1	beta-lactam	OXA-728	WP_116786835.1	carbapenem/cephalosporin/penam
416	OXA-730	WP_116786836.1	OXA-730	WP_116786836.1	carbapenem	OXA-730	WP_116786836.1	carbapenem/cephalosporin/penam
417	OXA-1021	WP_121306048.1	OXA-1021	WP_121306048.1	beta-lactam	OXA-902	WP_024916334.1	carbapenem/cephalosporin/penam
418	OXA-932	WP_121331722.1	OXA-932	WP_121331722.1	beta-lactam	OXA-932	WP_121331722.1	carbapenem/cephalosporin/penam
419	OXA-655	WP_122630842.1	OXA-655	WP_122630842.1	beta-lactam	OXA-655	WP_122630842.1	carbapenem/cephalosporin/penam
420	OXA-656	WP_122630843.1	OXA-656	WP_122630843.1	beta-lactam	OXA-656	WP_122630843.1	carbapenem/cephalosporin/penam
421	OXA-733	WP_122630844.1	OXA-733	WP_122630844.1	beta-lactam	OXA-733	WP_122630844.1	carbapenem/cephalosporin/penam
422	OXA-734	WP_122630853.1	OXA-734	WP_122630853.1	beta-lactam	OXA-734	WP_122630853.1	carbapenem/cephalosporin/penam
423	OXA-735	WP_122630854.1	OXA-735	WP_122630854.1	beta-lactam	OXA-735	WP_122630854.1	carbapenem/cephalosporin/penam
424	OXA-736	WP_122630855.1	OXA-736	WP_122630855.1	cephalosporin	OXA-736	WP_122630855.1	carbapenem/cephalosporin/penam
425	OXA-737	WP_122630856.1	OXA-737	WP_122630856.1	beta-lactam	OXA-737	WP_122630856.1	carbapenem/cephalosporin/penam
426	OXA-675	WP_122630857.1	OXA-675	WP_122630857.1	beta-lactam	OXA-675	WP_122630857.1	carbapenem/cephalosporin/penam
427	OXA-676	WP_122630858.1	OXA-676	WP_122630858.1	cephalosporin	OXA-676	WP_122630858.1	carbapenem/cephalosporin/penam
428	OXA-677	WP_122630859.1	OXA-677	WP_122630859.1	beta-lactam	OXA-677	WP_122630859.1	carbapenem/cephalosporin/penam
429	OXA-678	WP_122630860.1	OXA-678	WP_122630860.1	beta-lactam	OXA-678	WP_122630860.1	carbapenem/cephalosporin/penam
430	OXA-680	WP_122630864.1	OXA-680	WP_122630864.1	beta-lactam	OXA-680	WP_122630864.1	carbapenem/cephalosporin/penam
431	OXA-681	WP_122630881.1	OXA-681	WP_122630881.1	cephalosporin	OXA-681	WP_122630881.1	carbapenem/cephalosporin/penam
432	OXA-682	WP_122630884.1	OXA-682	WP_122630884.1	beta-lactam	OXA-682	WP_122630884.1	carbapenem/cephalosporin/penam
433	OXA-683	WP_122630885.1	OXA-683	WP_122630885.1	beta-lactam	OXA-683	WP_122630885.1	carbapenem/cephalosporin/penam
434	OXA-684	WP_122630886.1	OXA-684	WP_122630886.1	beta-lactam	OXA-684	WP_122630886.1	carbapenem/cephalosporin/penam
435	OXA-685	WP_122630887.1	OXA-685	WP_122630887.1	beta-lactam	OXA-685	WP_122630887.1	carbapenem/cephalosporin/penam
436	OXA-686	WP_122630888.1	OXA-686	WP_122630888.1	beta-lactam	OXA-686	WP_122630888.1	carbapenem/cephalosporin/penam
437	OXA-687	WP_122630889.1	OXA-687	WP_122630889.1	beta-lactam	OXA-687	WP_122630889.1	carbapenem/cephalosporin/penam
438	OXA-688	WP_122630890.1	OXA-688	WP_122630890.1	beta-lactam	OXA-688	WP_122630890.1	carbapenem/cephalosporin/penam
439	OXA-689	WP_122630891.1	OXA-689	WP_122630891.1	beta-lactam	OXA-689	WP_122630891.1	carbapenem/cephalosporin/penam
440	OXA-690	WP_122630892.1	OXA-690	WP_122630892.1	beta-lactam	OXA-690	WP_122630892.1	carbapenem/cephalosporin/penam
441	OXA-691	WP_122630893.1	OXA-691	WP_122630893.1	beta-lactam	OXA-691	WP_122630893.1	carbapenem/cephalosporin/penam
442	OXA-692	WP_122630894.1	OXA-692	WP_122630894.1	beta-lactam	OXA-692	WP_122630894.1	carbapenem/cephalosporin/penam
443	OXA-693	WP_122630895.1	OXA-693	WP_122630895.1	beta-lactam	OXA-693	WP_122630895.1	carbapenem/cephalosporin/penam
444	OXA-694	WP_122630896.1	OXA-694	WP_122630896.1	beta-lactam	OXA-694	WP_122630896.1	carbapenem/cephalosporin/penam
445	OXA-695	WP_122630897.1	OXA-695	WP_122630897.1	beta-lactam	OXA-695	WP_122630897.1	carbapenem/cephalosporin/penam
446	OXA-696	WP_122630898.1	OXA-696	WP_122630898.1	beta-lactam	OXA-696	WP_122630898.1	carbapenem/cephalosporin/penam
447	OXA-697	WP_122630899.1	OXA-697	WP_122630899.1	beta-lactam	OXA-697	WP_122630899.1	carbapenem/cephalosporin/penam
448	OXA-698	WP_122630900.1	OXA-698	WP_122630900.1	beta-lactam	OXA-698	WP_122630900.1	carbapenem/cephalosporin/penam
449	OXA-699	WP_122630901.1	OXA-699	WP_122630901.1	beta-lactam	OXA-699	WP_122630901.1	carbapenem/cephalosporin/penam
450	OXA-700	WP_122630902.1	OXA-700	WP_122630902.1	beta-lactam	OXA-700	WP_122630902.1	carbapenem/cephalosporin/penam
451	OXA-701	WP_122630903.1	OXA-701	WP_122630903.1	beta-lactam	OXA-701	WP_122630903.1	carbapenem/cephalosporin/penam
452	OXA-702	WP_122630904.1	OXA-702	WP_122630904.1	beta-lactam	OXA-702	WP_122630904.1	carbapenem/cephalosporin/penam
453	OXA-703	WP_122630905.1	OXA-703	WP_122630905.1	beta-lactam	OXA-703	WP_122630905.1	carbapenem/cephalosporin/penam
454	OXA-704	WP_122630906.1	OXA-704	WP_122630906.1	beta-lactam	OXA-704	WP_122630906.1	carbapenem/cephalosporin/penam
455	OXA-705	WP_122630907.1	OXA-705	WP_122630907.1	beta-lactam	OXA-705	WP_122630907.1	carbapenem/cephalosporin/penam
456	OXA-706	WP_122630908.1	OXA-706	WP_122630908.1	beta-lactam	OXA-706	WP_122630908.1	carbapenem/cephalosporin/penam
457	OXA-707	WP_122630909.1	OXA-707	WP_122630909.1	beta-lactam	OXA-707	WP_122630909.1	carbapenem/cephalosporin/penam
458	OXA-718	WP_122630910.1	OXA-718	WP_122630910.1	beta-lactam	OXA-718	WP_122630910.1	carbapenem/cephalosporin/penam
459	OXA-719	WP_122630911.1	OXA-719	WP_122630911.1	beta-lactam	OXA-719	WP_122630911.1	carbapenem/cephalosporin/penam
460	OXA-720	WP_122630912.1	OXA-720	WP_122630912.1	beta-lactam	OXA-720	WP_122630912.1	carbapenem/cephalosporin/penam
461	OXA-721	WP_122630913.1	OXA-721	WP_122630913.1	beta-lactam	OXA-721	WP_122630913.1	carbapenem/cephalosporin/penam
462	OXA-722	WP_122630914.1	OXA-722	WP_122630914.1	beta-lactam	OXA-722	WP_122630914.1	carbapenem/cephalosporin/penam
463	OXA-723	WP_122630915.1	OXA-723	WP_122630915.1	beta-lactam	OXA-723	WP_122630915.1	carbapenem/cephalosporin/penam
464	OXA-708	WP_122630916.1	OXA-708	WP_122630916.1	beta-lactam	OXA-708	WP_122630916.1	carbapenem/cephalosporin/penam
465	OXA-709	WP_122630917.1	OXA-709	WP_122630917.1	beta-lactam	OXA-709	WP_122630917.1	carbapenem/cephalosporin/penam
466	OXA-710	WP_122630918.1	OXA-710	WP_122630918.1	beta-lactam	OXA-710	WP_122630918.1	carbapenem/cephalosporin/penam
467	OXA-711	WP_122630919.1	OXA-711	WP_122630919.1	beta-lactam	OXA-711	WP_122630919.1	carbapenem/cephalosporin/penam
468	OXA-712	WP_122630920.1	OXA-712	WP_122630920.1	beta-lactam	OXA-712	WP_122630920.1	carbapenem/cephalosporin/penam
469	OXA-713	WP_122630921.1	OXA-713	WP_122630921.1	beta-lactam	OXA-713	WP_122630921.1	carbapenem/cephalosporin/penam
470	OXA-714	WP_122630922.1	OXA-714	WP_122630922.1	beta-lactam	OXA-714	WP_122630922.1	carbapenem/cephalosporin/penam
471	OXA-777	WP_122630923.1	OXA-777	WP_122630923.1	beta-lactam	OXA-777	WP_122630923.1	carbapenem/cephalosporin/penam
472	OXA-778	WP_122630924.1	OXA-778	WP_122630924.1	beta-lactam	OXA-778	WP_122630924.1	carbapenem/cephalosporin/penam
473	OXA-779	WP_122634438.1	OXA-779	WP_122634438.1	beta-lactam	OXA-779	WP_122634438.1	carbapenem/cephalosporin/penam
474	OXA-679	WP_122634439.1	OXA-679	WP_122634439.1	carbapenem	OXA-679	WP_122634439.1	carbapenem/cephalosporin/penam
475	OXA-1124	WP_124125861.1	OXA-1124	WP_124125861.1	beta-lactam	OXA-395	WP_015649877.1	carbapenem/cephalosporin/penam
476	OXA-834	WP_125052736.1	OXA-834	WP_125052736.1	beta-lactam	OXA-834	WP_125052736.1	carbapenem/cephalosporin/penam
477	OXA-1083	WP_125064048.1	OXA-1083	WP_125064048.1	beta-lactam	OXA-2	AAB59082.1	carbapenem/cephalosporin/penam
478	OXA-785	WP_126205827.1	OXA-785	WP_126205827.1	beta-lactam	OXA-785	WP_126205827.1	carbapenem/cephalosporin/penam
479	OXA-1020	WP_126584556.1	OXA-1020	WP_126584556.1	beta-lactam	OXA-903	WP_164461291.1	carbapenem/cephalosporin/penam
480	OXA-1131	WP_126622689.1	OXA-1131	WP_126622689.1	beta-lactam	OXA-494	WP_003118452.1	carbapenem/cephalosporin/penam
481	OXA-1029	WP_126861771.1	OXA-1029	WP_126861771.1	beta-lactam	OXA-846	QEJ80883.1	carbapenem/cephalosporin/penam
482	OXA-738	WP_128268238.1	OXA-738	WP_128268238.1	beta-lactam	OXA-738	WP_128268238.1	carbapenem/cephalosporin/penam
483	OXA-740	WP_128268239.1	OXA-740	WP_128268239.1	beta-lactam	OXA-740	WP_128268239.1	carbapenem/cephalosporin/penam
484	OXA-741	WP_128268240.1	OXA-741	WP_128268240.1	beta-lactam	OXA-741	WP_128268240.1	carbapenem/cephalosporin/penam
485	OXA-742	WP_128268241.1	OXA-742	WP_128268241.1	beta-lactam	OXA-742	WP_128268241.1	carbapenem/cephalosporin/penam
486	OXA-743	WP_128268242.1	OXA-743	WP_128268242.1	beta-lactam	OXA-743	WP_128268242.1	carbapenem/cephalosporin/penam
487	OXA-744	WP_128268243.1	OXA-744	WP_128268243.1	beta-lactam	OXA-744	WP_128268243.1	carbapenem/cephalosporin/penam
488	OXA-745	WP_128268244.1	OXA-745	WP_128268244.1	beta-lactam	OXA-745	WP_128268244.1	carbapenem/cephalosporin/penam
489	OXA-746	WP_128268245.1	OXA-746	WP_128268245.1	beta-lactam	OXA-746	WP_128268245.1	carbapenem/cephalosporin/penam
490	OXA-747	WP_128268246.1	OXA-747	WP_128268246.1	beta-lactam	OXA-747	WP_128268246.1	carbapenem/cephalosporin/penam
491	OXA-748	WP_128268247.1	OXA-748	WP_128268247.1	beta-lactam	OXA-748	WP_128268247.1	carbapenem/cephalosporin/penam
492	OXA-749	WP_128268248.1	OXA-749	WP_128268248.1	beta-lactam	OXA-749	WP_128268248.1	carbapenem/cephalosporin/penam
493	OXA-750	WP_128268249.1	OXA-750	WP_128268249.1	beta-lactam	OXA-750	WP_128268249.1	carbapenem/cephalosporin/penam
494	OXA-751	WP_128268250.1	OXA-751	WP_128268250.1	beta-lactam	OXA-751	WP_128268250.1	carbapenem/cephalosporin/penam
495	OXA-752	WP_128268251.1	OXA-752	WP_128268251.1	beta-lactam	OXA-752	WP_128268251.1	carbapenem/cephalosporin/penam
496	OXA-753	WP_128268252.1	OXA-753	WP_128268252.1	beta-lactam	OXA-753	WP_128268252.1	carbapenem/cephalosporin/penam
497	OXA-754	WP_128268253.1	OXA-754	WP_128268253.1	beta-lactam	OXA-754	WP_128268253.1	carbapenem/cephalosporin/penam
498	OXA-755	WP_128268254.1	OXA-755	WP_128268254.1	beta-lactam	OXA-755	WP_128268254.1	carbapenem/cephalosporin/penam
499	OXA-756	WP_128268255.1	OXA-756	WP_128268255.1	beta-lactam	OXA-756	WP_128268255.1	carbapenem/cephalosporin/penam
500	OXA-757	WP_128268256.1	OXA-757	WP_128268256.1	beta-lactam	OXA-757	WP_128268256.1	carbapenem/cephalosporin/penam
501	OXA-758	WP_128268257.1	OXA-758	WP_128268257.1	beta-lactam	OXA-758	WP_128268257.1	carbapenem/cephalosporin/penam
502	OXA-759	WP_128268258.1	OXA-759	WP_128268258.1	beta-lactam	OXA-759	WP_128268258.1	carbapenem/cephalosporin/penam
503	OXA-760	WP_128268259.1	OXA-760	WP_128268259.1	beta-lactam	OXA-760	WP_128268259.1	carbapenem/cephalosporin/penam
504	OXA-761	WP_128268260.1	OXA-761	WP_128268260.1	beta-lactam	OXA-761	WP_128268260.1	carbapenem/cephalosporin/penam
505	OXA-762	WP_128268261.1	OXA-762	WP_128268261.1	beta-lactam	OXA-762	WP_128268261.1	carbapenem/cephalosporin/penam
506	OXA-763	WP_128268262.1	OXA-763	WP_128268262.1	beta-lactam	OXA-763	WP_128268262.1	carbapenem/cephalosporin/penam
507	OXA-764	WP_128268263.1	OXA-764	WP_128268263.1	beta-lactam	OXA-764	WP_128268263.1	carbapenem/cephalosporin/penam
508	OXA-765	WP_128268264.1	OXA-765	WP_128268264.1	beta-lactam	OXA-765	WP_128268264.1	carbapenem/cephalosporin/penam
509	OXA-766	WP_128268265.1	OXA-766	WP_128268265.1	beta-lactam	OXA-766	WP_128268265.1	carbapenem/cephalosporin/penam
510	OXA-767	WP_128268266.1	OXA-767	WP_128268266.1	beta-lactam	OXA-767	WP_128268266.1	carbapenem/cephalosporin/penam
511	OXA-768	WP_128268267.1	OXA-768	WP_128268267.1	beta-lactam	OXA-768	WP_128268267.1	carbapenem/cephalosporin/penam
512	OXA-769	WP_128268268.1	OXA-769	WP_128268268.1	beta-lactam	OXA-769	WP_128268268.1	carbapenem/cephalosporin/penam
513	OXA-770	WP_128268269.1	OXA-770	WP_128268269.1	beta-lactam	OXA-770	WP_128268269.1	carbapenem/cephalosporin/penam
514	OXA-771	WP_128268270.1	OXA-771	WP_128268270.1	beta-lactam	OXA-771	WP_128268270.1	carbapenem/cephalosporin/penam
515	OXA-772	WP_128268271.1	OXA-772	WP_128268271.1	beta-lactam	OXA-772	WP_128268271.1	carbapenem/cephalosporin/penam
516	OXA-773	WP_128268272.1	OXA-773	WP_128268272.1	beta-lactam	OXA-773	WP_128268272.1	carbapenem/cephalosporin/penam
517	OXA-774	WP_128268273.1	OXA-774	WP_128268273.1	beta-lactam	OXA-774	WP_128268273.1	carbapenem/cephalosporin/penam
518	OXA-775	WP_128268274.1	OXA-775	WP_128268274.1	beta-lactam	OXA-775	WP_128268274.1	carbapenem/cephalosporin/penam
519	OXA-776	WP_128268275.1	OXA-776	WP_128268275.1	beta-lactam	OXA-776	WP_128268275.1	carbapenem/cephalosporin/penam
520	OXA-781	WP_128268276.1	OXA-781	WP_128268276.1	beta-lactam	OXA-781	WP_128268276.1	carbapenem/cephalosporin/penam
521	OXA-782	WP_128268277.1	OXA-782	WP_128268277.1	beta-lactam	OXA-782	WP_128268277.1	carbapenem/cephalosporin/penam
522	OXA-783	WP_128268278.1	OXA-783	WP_128268278.1	beta-lactam	OXA-783	WP_128268278.1	carbapenem/cephalosporin/penam
523	OXA-786	WP_128268279.1	OXA-786	WP_128268279.1	beta-lactam	OXA-786	WP_128268279.1	carbapenem/cephalosporin/penam
524	OXA-1037	WP_128296272.1	OXA-1037	WP_128296272.1	beta-lactam	OXA-504	WP_063864115.1	carbapenem/cephalosporin/penam
525	OXA-822	WP_133973918.1	OXA-822	WP_133973918.1	beta-lactam	OXA-822	WP_133973918.1	carbapenem/cephalosporin/penam
526	OXA-114k	WP_136512073.1	OXA-114k	WP_136512073.1	beta-lactam	OXA-114k	WP_136512073.1	carbapenem/cephalosporin/penam
527	OXA-114n	WP_136512074.1	OXA-114n	WP_136512074.1	beta-lactam	OXA-114n	WP_136512074.1	carbapenem/cephalosporin/penam
528	OXA-114q	WP_136512075.1	OXA-114q	WP_136512075.1	beta-lactam	OXA-114q	WP_136512075.1	carbapenem/cephalosporin/penam
529	OXA-114r	WP_136512076.1	OXA-114r	WP_136512076.1	beta-lactam	OXA-114r	WP_136512076.1	carbapenem/cephalosporin/penam
530	OXA-114s	WP_136512077.1	OXA-114s	WP_136512077.1	beta-lactam	OXA-114s	WP_136512077.1	carbapenem/cephalosporin/penam
531	OXA-114t	WP_136512078.1	OXA-114t	WP_136512078.1	beta-lactam	OXA-114t	WP_136512078.1	carbapenem/cephalosporin/penam
532	OXA-114u	WP_136512079.1	OXA-114u	WP_136512079.1	beta-lactam	OXA-114u	WP_136512079.1	carbapenem/cephalosporin/penam
533	OXA-114v	WP_136512080.1	OXA-114v	WP_136512080.1	beta-lactam	OXA-114v	WP_136512080.1	carbapenem/cephalosporin/penam
534	OXA-114w	WP_136512081.1	OXA-114w	WP_136512081.1	beta-lactam	OXA-114w	WP_136512081.1	carbapenem/cephalosporin/penam
535	OXA-114x	WP_136512082.1	OXA-114x	WP_136512082.1	beta-lactam	OXA-114x	WP_136512082.1	carbapenem/cephalosporin/penam
536	OXA-787	WP_136512083.1	OXA-787	WP_136512083.1	beta-lactam	OXA-787	WP_136512083.1	carbapenem/cephalosporin/penam
537	OXA-788	WP_136512084.1	OXA-788	WP_136512084.1	beta-lactam	OXA-788	WP_136512084.1	carbapenem/cephalosporin/penam
538	OXA-793	WP_136512085.1	OXA-793	WP_136512085.1	beta-lactam	OXA-793	WP_136512085.1	carbapenem/cephalosporin/penam
539	OXA-794	WP_136512086.1	OXA-794	WP_136512086.1	beta-lactam	OXA-794	WP_136512086.1	carbapenem/cephalosporin/penam
540	OXA-795	WP_136512087.1	OXA-795	WP_136512087.1	beta-lactam	OXA-795	WP_136512087.1	carbapenem/cephalosporin/penam
541	OXA-797	WP_136512088.1	OXA-797	WP_136512088.1	beta-lactam	OXA-797	WP_136512088.1	carbapenem/cephalosporin/penam
542	OXA-798	WP_136512089.1	OXA-798	WP_136512089.1	beta-lactam	OXA-798	WP_136512089.1	carbapenem/cephalosporin/penam
543	OXA-799	WP_136512090.1	OXA-799	WP_136512090.1	beta-lactam	OXA-799	WP_136512090.1	carbapenem/cephalosporin/penam
544	OXA-800	WP_136512091.1	OXA-800	WP_136512091.1	beta-lactam	OXA-800	WP_136512091.1	carbapenem/cephalosporin/penam
545	OXA-801	WP_136512092.1	OXA-801	WP_136512092.1	beta-lactam	OXA-801	WP_136512092.1	carbapenem/cephalosporin/penam
546	OXA-802	WP_136512093.1	OXA-802	WP_136512093.1	beta-lactam	OXA-802	WP_136512093.1	carbapenem/cephalosporin/penam
547	OXA-803	WP_136512094.1	OXA-803	WP_136512094.1	beta-lactam	OXA-803	WP_136512094.1	carbapenem/cephalosporin/penam
548	OXA-804	WP_136512095.1	OXA-804	WP_136512095.1	beta-lactam	OXA-804	WP_136512095.1	carbapenem/cephalosporin/penam
549	OXA-805	WP_136512096.1	OXA-805	WP_136512096.1	beta-lactam	OXA-805	WP_136512096.1	carbapenem/cephalosporin/penam
550	OXA-806	WP_136512097.1	OXA-806	WP_136512097.1	carbapenem	OXA-806	WP_136512097.1	carbapenem/cephalosporin/penam
551	OXA-807	WP_136512098.1	OXA-807	WP_136512098.1	carbapenem	OXA-807	WP_136512098.1	carbapenem/cephalosporin/penam
552	OXA-808	WP_136512099.1	OXA-808	WP_136512099.1	carbapenem	OXA-808	WP_136512099.1	carbapenem/cephalosporin/penam
553	OXA-809	WP_136512100.1	OXA-809	WP_136512100.1	carbapenem	OXA-809	WP_136512100.1	carbapenem/cephalosporin/penam
554	OXA-810	WP_136512101.1	OXA-810	WP_136512101.1	carbapenem	OXA-810	WP_136512101.1	carbapenem/cephalosporin/penam
555	OXA-811	WP_136512102.1	OXA-811	WP_136512102.1	carbapenem	OXA-811	WP_136512102.1	carbapenem/cephalosporin/penam
556	OXA-823	WP_136512103.1	OXA-823	WP_136512103.1	beta-lactam	OXA-823	WP_136512103.1	carbapenem/cephalosporin/penam
557	OXA-824	WP_136512104.1	OXA-824	WP_136512104.1	beta-lactam	OXA-824	WP_136512104.1	carbapenem/cephalosporin/penam
558	OXA-643	WP_140423312.1	OXA-643	WP_140423312.1	beta-lactam	OXA-643	WP_140423312.1	carbapenem/cephalosporin/penam
559	OXA-644	WP_140423313.1	OXA-644	WP_140423313.1	beta-lactam	OXA-644	WP_140423313.1	carbapenem/cephalosporin/penam
560	OXA-645	WP_140423314.1	OXA-645	WP_140423314.1	beta-lactam	OXA-645	WP_140423314.1	carbapenem/cephalosporin/penam
561	OXA-647	WP_140423315.1	OXA-647	WP_140423315.1	carbapenem	OXA-647	WP_140423315.1	carbapenem/cephalosporin/penam
562	OXA-648	WP_140423316.1	OXA-648	WP_140423316.1	carbapenem	OXA-648	WP_140423316.1	carbapenem/cephalosporin/penam
563	OXA-650	WP_140423317.1	OXA-650	WP_140423317.1	beta-lactam	OXA-650	WP_140423317.1	carbapenem/cephalosporin/penam
564	OXA-825	WP_140423318.1	OXA-825	WP_140423318.1	beta-lactam	OXA-825	WP_140423318.1	carbapenem/cephalosporin/penam
565	OXA-826	WP_140423319.1	OXA-826	WP_140423319.1	beta-lactam	OXA-826	WP_140423319.1	carbapenem/cephalosporin/penam
566	OXA-827	WP_140423320.1	OXA-827	WP_140423320.1	beta-lactam	OXA-827	WP_140423320.1	carbapenem/cephalosporin/penam
567	OXA-828	WP_140423321.1	OXA-828	WP_140423321.1	beta-lactam	OXA-828	WP_140423321.1	carbapenem/cephalosporin/penam
568	OXA-829	WP_140423322.1	OXA-829	WP_140423322.1	beta-lactam	OXA-829	WP_140423322.1	carbapenem/cephalosporin/penam
569	OXA-831	WP_140423323.1	OXA-831	WP_140423323.1	beta-lactam	OXA-831	WP_140423323.1	carbapenem/cephalosporin/penam
570	OXA-833	WP_140423324.1	OXA-833	WP_140423324.1	beta-lactam	OXA-833	WP_140423324.1	carbapenem/cephalosporin/penam
571	OXA-935	WP_141989064.1	OXA-935	WP_141989064.1	cephalosporin	OXA-935	WP_141989064.1	carbapenem/cephalosporin/penam
572	OXA-894	WP_144376393.1	OXA-894	WP_144376393.1	beta-lactam	OXA-894	WP_144376393.1	carbapenem/cephalosporin/penam
573	OXA-835	WP_148044422.1	OXA-835	WP_148044422.1	beta-lactam	OXA-835	WP_148044422.1	carbapenem/cephalosporin/penam
574	OXA-836	WP_148044423.1	OXA-836	WP_148044423.1	beta-lactam	OXA-836	WP_148044423.1	carbapenem/cephalosporin/penam
575	OXA-837	WP_148281568.1	OXA-837	WP_148281568.1	beta-lactam	OXA-837	QEE23059.1	carbapenem/cephalosporin/penam
576	OXA-838	WP_150823470.1	OXA-838	WP_150823470.1	beta-lactam	OXA-838	QEJ74001.1	carbapenem/cephalosporin/penam
577	OXA-839	WP_150823471.1	OXA-839	WP_150823471.1	beta-lactam	OXA-839	WP_150823471.1	carbapenem/cephalosporin/penam
578	OXA-840	WP_150823472.1	OXA-840	WP_150823472.1	beta-lactam	OXA-840	WP_150823472.1	carbapenem/cephalosporin/penam
579	OXA-841	WP_150823473.1	OXA-841	WP_150823473.1	beta-lactam	OXA-841	WP_150823473.1	carbapenem/cephalosporin/penam
580	OXA-843	WP_150823474.1	OXA-843	WP_150823474.1	beta-lactam	OXA-843	WP_150823474.1	carbapenem/cephalosporin/penam
581	OXA-844	WP_150823475.1	OXA-844	WP_150823475.1	beta-lactam	OXA-844	WP_150823475.1	carbapenem/cephalosporin/penam
582	OXA-845	WP_150823476.1	OXA-845	WP_150823476.1	beta-lactam	OXA-845	WP_150823476.1	carbapenem/cephalosporin/penam
583	OXA-849	WP_150823477.1	OXA-849	WP_150823477.1	beta-lactam	OXA-849	WP_150823477.1	carbapenem/cephalosporin/penam
584	OXA-930	WP_151781119.1	OXA-930	WP_151781119.1	beta-lactam	OXA-930	WP_151781119.1	carbapenem/cephalosporin/penam
585	OXA-830	WP_152315468.1	OXA-830	WP_152315468.1	beta-lactam	OXA-830	WP_152315468.1	carbapenem/cephalosporin/penam
586	OXA-852	WP_152315469.1	OXA-852	WP_152315469.1	beta-lactam	OXA-852	WP_152315469.1	carbapenem/cephalosporin/penam
587	OXA-857	WP_152315470.1	OXA-857	WP_152315470.1	beta-lactam	OXA-857	WP_152315470.1	carbapenem/cephalosporin/penam
588	OXA-858	WP_152315471.1	OXA-858	WP_152315471.1	beta-lactam	OXA-858	WP_152315471.1	carbapenem/cephalosporin/penam
589	OXA-859	WP_152315472.1	OXA-859	WP_152315472.1	beta-lactam	OXA-859	WP_152315472.1	carbapenem/cephalosporin/penam
590	OXA-860	WP_152315473.1	OXA-860	WP_152315473.1	beta-lactam	OXA-860	WP_152315473.1	carbapenem/cephalosporin/penam
591	OXA-861	WP_152315474.1	OXA-861	WP_152315474.1	beta-lactam	OXA-861	WP_152315474.1	carbapenem/cephalosporin/penam
592	OXA-862	WP_152315475.1	OXA-862	WP_152315475.1	beta-lactam	OXA-862	WP_152315475.1	carbapenem/cephalosporin/penam
593	OXA-863	WP_152315476.1	OXA-863	WP_152315476.1	beta-lactam	OXA-863	WP_152315476.1	carbapenem/cephalosporin/penam
594	OXA-864	WP_152315477.1	OXA-864	WP_152315477.1	beta-lactam	OXA-864	WP_152315477.1	carbapenem/cephalosporin/penam
595	OXA-865	WP_152315478.1	OXA-865	WP_152315478.1	beta-lactam	OXA-865	WP_152315478.1	carbapenem/cephalosporin/penam
596	OXA-866	WP_152315479.1	OXA-866	WP_152315479.1	beta-lactam	OXA-866	WP_152315479.1	carbapenem/cephalosporin/penam
