Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1867114725|WP_178317675.1|1|1|blaOXA-900|blaOXA|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-900	blaOXA-900	carbapenem-hydrolyzing class D beta-lactamase OXA-900	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	270	270	100.00	100.00	270	WP_178317675.1	carbapenem-hydrolyzing class D beta-lactamase OXA-900	NF012161.0	class D beta-lactamase
1869283860|WP_179284333.1|1|1|blaOXA-918|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-918	blaOXA-918	OXA-48 family class D beta-lactamase OXA-918	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_179284333.1	OXA-48 family class D beta-lactamase OXA-918	NF000387.2	OXA-48 family class D beta-lactamase
1869283863|WP_179284336.1|1|1|blaOXA-920|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-920	blaOXA-920	OXA-48 family class D beta-lactamase OXA-920	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_179284336.1	OXA-48 family class D beta-lactamase OXA-920	NF000387.2	OXA-48 family class D beta-lactamase
1869283866|WP_179284339.1|1|1|blaOXA-921|blaOXA-1_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-1_family_class_D_beta-lactamase_OXA-921	blaOXA-921	OXA-1 family class D beta-lactamase OXA-921	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_179284339.1	OXA-1 family class D beta-lactamase OXA-921	NF000388.2	OXA-1 family class D beta-lactamase
1869283869|WP_179284342.1|1|1|blaOXA-923|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-923	blaOXA-923	OXA-48 family class D beta-lactamase OXA-923	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_179284342.1	OXA-48 family class D beta-lactamase OXA-923	NF000387.2	OXA-48 family class D beta-lactamase
1869283872|WP_179284345.1|1|1|blaOXA-924|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-924	blaOXA-924	OXA-48 family class D beta-lactamase OXA-924	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_179284345.1	OXA-48 family class D beta-lactamase OXA-924	NF000387.2	OXA-48 family class D beta-lactamase
1905483309|WP_188331876.1|1|1|blaOXA-922|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-922	blaOXA-922	OXA-48 family class D beta-lactamase OXA-922	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_188331876.1	OXA-48 family class D beta-lactamase OXA-922	NF000387.2	OXA-48 family class D beta-lactamase
1905483310|WP_188331877.1|1|1|blaOXA-928|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-928	blaOXA-928	OXA-10 family class D beta-lactamase OXA-928	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	261	261	100.00	100.00	261	WP_188331877.1	OXA-10 family class D beta-lactamase OXA-928	NF000386.2	OXA-10 family class D beta-lactamase
1905483311|WP_188331878.1|1|1|blaOXA-929|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-929	blaOXA-929	OXA-48 family class D beta-lactamase OXA-929	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	261	261	100.00	100.00	261	WP_188331878.1	OXA-48 family class D beta-lactamase OXA-929	NF000387.2	OXA-48 family class D beta-lactamase
1907960660|WP_190259776.1|1|1|blaOXA-931|blaOXA-229_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-931	blaOXA-931	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-931	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_190259776.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-931	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1929697378|WP_194293137.1|1|1|blaOXA-893|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-893	blaOXA-893	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-893	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_194293137.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-893	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1939744904|WP_196658681.1|1|1|blaOXA-1019|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1019	blaOXA-1019	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_196658681.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
1992386367|WP_204376235.1|1|1|blaOXA-945|blaOXA-143_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-143_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-945	blaOXA-945	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-945	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_204376235.1	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase OXA-945	NF000464.2	OXA-143 family carbapenem-hydrolyzing class D beta-lactamase
1992386368|WP_204376236.1|1|1|blaOXA-946|blaOXA-679_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-679_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-946	blaOXA-946	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-946	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_204376236.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-946	NF038333.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
1992386369|WP_204376237.1|1|1|blaOXA-947|blaOXA-679_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-679_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-947	blaOXA-947	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-947	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_204376237.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-947	NF038333.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
1992386370|WP_204376238.1|1|1|blaOXA-948|blaOXA-679_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-679_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-948	blaOXA-948	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-948	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_204376238.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-948	NF038333.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
1992386371|WP_204376239.1|1|1|blaOXA-949|blaOXA-679_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-679_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-949	blaOXA-949	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-949	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_204376239.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase OXA-949	NF038333.1	OXA-679 family carbapenem-hydrolyzing class D beta-lactamase
2035785355|WP_211816370.1|1|1|blaOXA-1011|blaOXA-732_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-1011	blaOXA-1011	class D beta-lactamase OXA-1011	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_211816370.1	class D beta-lactamase OXA-1011	NF040805.1	OXA-732 family class D beta-lactamase
2044604172|WP_213384363.1|1|1|blaOXA-1047|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1047	blaOXA-1047	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1047	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_213384363.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1047	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2045802572|WP_213994595.1|1|1|blaOXA-790|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-114_family_class_D_beta-lactamase_OXA-790	blaOXA-790	OXA-114 family class D beta-lactamase OXA-790	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_213994595.1	OXA-114 family class D beta-lactamase OXA-790	NF033818.0	OXA-114 family class D beta-lactamase
2045802573|WP_213994596.1|1|1|blaOXA-791|blaOXA-114_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-114_family_class_D_beta-lactamase_OXA-791	blaOXA-791	OXA-114 family class D beta-lactamase OXA-791	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_213994596.1	OXA-114 family class D beta-lactamase OXA-791	NF033818.0	OXA-114 family class D beta-lactamase
2045802574|WP_213994597.1|1|1|blaOXA-951|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-951	blaOXA-951	OXA-12 family class D beta-lactamase OXA-951	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_213994597.1	OXA-12 family class D beta-lactamase OXA-951	NF033702.0	OXA-12 family class D beta-lactamase
2045802575|WP_213994598.1|1|1|blaOXA-952|blaOXA-229_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-952	blaOXA-952	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-952	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_213994598.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-952	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
2045802576|WP_213994599.1|1|1|blaOXA-954|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-954	blaOXA-954	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-954	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_213994599.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-954	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2045802577|WP_213994600.1|1|1|blaOXA-955|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-955	blaOXA-955	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-955	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_213994600.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-955	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2045802578|WP_213994601.1|1|1|blaOXA-960|blaOXA-55_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-55_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-960	blaOXA-960	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-960	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	289	100.00	100.00	289	WP_213994601.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-960	NF033667.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
2045802579|WP_213994602.1|1|1|blaOXA-961|blaOXA-55_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-55_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-961	blaOXA-961	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-961	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	289	100.00	100.00	289	WP_213994602.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-961	NF033667.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
2045802580|WP_213994603.1|1|1|blaOXA-963|blaOXA-55_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-55_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-963	blaOXA-963	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-963	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	289	100.00	100.00	289	WP_213994603.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-963	NF033667.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
2045802581|WP_213994604.1|1|1|blaOXA-965|blaOXA-55_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-55_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-965	blaOXA-965	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-965	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	289	289	100.00	100.00	289	WP_213994604.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase OXA-965	NF033667.1	OXA-55 family carbapenem-hydrolyzing class D beta-lactamase
2051211453|WP_215763651.1|1|1|blaOXA-1076|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1076	blaOXA-1076	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1076	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_215763651.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1076	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2075919564|WP_219860714.1|1|1|blaOXA-957|bla-D|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-957	blaOXA-957	class D beta-lactamase OXA-957	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_219860714.1	class D beta-lactamase OXA-957	NA	NA
2075919576|WP_219860726.1|1|1|blaOXA-1013|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1013	blaOXA-1013	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_219860726.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2075919577|WP_219860727.1|1|1|blaOXA-1015|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-1015	blaOXA-1015	OXA-10 family class D beta-lactamase OXA-1015	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_219860727.1	OXA-10 family class D beta-lactamase OXA-1015	NF000386.2	OXA-10 family class D beta-lactamase
2075919578|WP_219860728.1|1|1|blaOXA-1016|blaOXA-372_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-372_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1016	blaOXA-1016	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase OXA-1016	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	257	257	100.00	100.00	257	WP_219860728.1	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase OXA-1016	NF000415.3	OXA-372 family carbapenem-hydrolyzing class D beta-lactamase
2075919580|WP_219860730.1|1|1|blaOXA-1017|blaOXA-2_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-2_family_class_D_beta-lactamase_OXA-1017	blaOXA-1017	OXA-2 family class D beta-lactamase OXA-1017	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_219860730.1	OXA-2 family class D beta-lactamase OXA-1017	NF000267.2	OXA-2 family class D beta-lactamase
2095804954|WP_223146972.1|1|1|blaOXA-1018|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1018	blaOXA-1018	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_223146972.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2095804955|WP_223146973.1|1|1|blaOXA-1031|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1031	blaOXA-1031	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_223146973.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
2165384325|WP_231869587.1|1|1|blaOXA-1042|blaOXA-1_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-1_family_class_D_beta-lactamase_OXA-1042	blaOXA-1042	OXA-1 family class D beta-lactamase OXA-1042	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_231869587.1	OXA-1 family class D beta-lactamase OXA-1042	NF000388.2	OXA-1 family class D beta-lactamase
2165384329|WP_231869591.1|1|1|blaOXA-933|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-933	blaOXA-933	OXA-48 family class D beta-lactamase OXA-933	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_231869591.1	OXA-48 family class D beta-lactamase OXA-933	NF000387.2	OXA-48 family class D beta-lactamase
2165384330|WP_231869592.1|1|1|blaOXA-934|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-934	blaOXA-934	OXA-48 family class D beta-lactamase OXA-934	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_231869592.1	OXA-48 family class D beta-lactamase OXA-934	NF000387.2	OXA-48 family class D beta-lactamase
2165384332|WP_231869594.1|1|1|blaOXA-967|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-967	blaOXA-967	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-967	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_231869594.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-967	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
2165384333|WP_231869595.1|1|1|blaOXA-968|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-968	blaOXA-968	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-968	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_231869595.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-968	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
2165384334|WP_231869596.1|1|1|blaOXA-969|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-969	blaOXA-969	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-969	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_231869596.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-969	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
2165384335|WP_231869597.1|1|1|blaOXA-970|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-970	blaOXA-970	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-970	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869597.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-970	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384336|WP_231869598.1|1|1|blaOXA-971|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-971	blaOXA-971	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-971	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869598.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-971	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384337|WP_231869599.1|1|1|blaOXA-972|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-972	blaOXA-972	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-972	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869599.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-972	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384338|WP_231869600.1|1|1|blaOXA-973|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-973	blaOXA-973	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-973	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869600.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-973	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384339|WP_231869601.1|1|1|blaOXA-974|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-974	blaOXA-974	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-974	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869601.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-974	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384340|WP_231869602.1|1|1|blaOXA-975|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-975	blaOXA-975	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-975	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869602.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-975	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384341|WP_231869603.1|1|1|blaOXA-977|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-977	blaOXA-977	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-977	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_231869603.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-977	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
2165384342|WP_231869604.1|1|1|blaOXA-978|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-978	blaOXA-978	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-978	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_231869604.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-978	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
2165384343|WP_231869605.1|1|1|blaOXA-979|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-979	blaOXA-979	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-979	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_231869605.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-979	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
2165384344|WP_231869606.1|1|1|blaOXA-981|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-981	blaOXA-981	class D beta-lactamase OXA-981	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	279	279	100.00	100.00	279	WP_231869606.1	class D beta-lactamase OXA-981	NF012161.0	class D beta-lactamase
