Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
gb|ENW50687.1|ARO:3001718|OXA-262	blaOXA-262	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-262	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_005132156.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-262	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENW94121.1|ARO:3001746|OXA-291	blaOXA-291	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-291	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	278	278	100.00	100.00	278	WP_005185807.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-291	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX09209.1|ARO:3001752|OXA-297	blaOXA-297	OXA-294 family class D beta-lactamase OXA-297	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	285	285	100.00	100.00	285	WP_005227858.1	OXA-294 family class D beta-lactamase OXA-297	NF038386.1	OXA-294 family class D beta-lactamase
gb|ENX16434.1|ARO:3001739|OXA-284	blaOXA-284	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_005245537.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-284	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX18112.1|ARO:3001757|OXA-302	blaOXA-302	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-302	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_005238189.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-302	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX19403.1|ARO:3001750|OXA-295	blaOXA-295	OXA-294 family class D beta-lactamase OXA-295	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	278	278	100.00	100.00	278	WP_005260134.1	OXA-294 family class D beta-lactamase OXA-295	NF038386.1	OXA-294 family class D beta-lactamase
gb|ENX26326.1|ARO:3001740|OXA-285	blaOXA-285	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-285	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	276	276	100.00	100.00	276	WP_005268230.1	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-285	NF000436.2	OXA-134 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX38336.1|ARO:3001761|OXA-306	blaOXA-306	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-306	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	278	278	100.00	100.00	278	WP_005297518.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-306	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX40034.1|ARO:3001753|OXA-298	blaOXA-298	OXA-294 family class D beta-lactamase OXA-298	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	285	285	100.00	100.00	285	WP_005282462.1	OXA-294 family class D beta-lactamase OXA-298	NF038386.1	OXA-294 family class D beta-lactamase
gb|ENX45276.1|ARO:3001759|OXA-304	blaOXA-304	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-304	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_005304617.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-304	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX53612.1|ARO:3001747|OXA-292	blaOXA-292	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-292	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	278	278	100.00	100.00	278	WP_005209448.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-292	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX56371.1|ARO:3001758|OXA-303	blaOXA-303	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-303	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_005317413.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-303	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|ENX60508.1|ARO:3001743|OXA-288	blaOXA-288	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-288	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_005201559.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-288	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|EOQ63861.1|ARO:3001725|OXA-269	blaOXA-269	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-269	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_016138346.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-269	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|EOQ69512.1|ARO:3001726|OXA-270	blaOXA-270	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-270	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_016141238.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-270	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|EOQ72432.1|ARO:3001727|OXA-271	blaOXA-271	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-271	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_016145058.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-271	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|EOR02560.1|ARO:3004479|OXA-664	blaOXA	OXA-1036 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	PARTIALP	231	279	82.80	94.81	231	WP_104442312.1	carbapenem-hydrolyzing class D beta-lactamase OXA-1036	NF012161.0	class D beta-lactamase
gb|EPF70268.1|ARO:3004478|OXA-665	blaOXA-665	carbapenem-hydrolyzing class D beta-lactamase OXA-665	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_016657654.1	carbapenem-hydrolyzing class D beta-lactamase OXA-665	NF012161.0	class D beta-lactamase
gb|EPH38243.1|ARO:3001730|OXA-274	blaOXA-274	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-274	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	281	281	100.00	100.00	281	WP_004725235.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-274	NF033648.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
gb|KEC85091.1|ARO:3005158|OXA-668	blaOXA-668	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-668	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	281	281	100.00	100.00	281	WP_034612711.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-668	NF033648.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
gb|KSG40284.1|ARO:3003642|OXA-485	blaOXA-485	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-485	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_033954903.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-485	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|OPD39420.1|ARO:3005222|OXA-544	blaOXA-544	OXA-2 family class D beta-lactamase OXA-544	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_071537493.1	OXA-2 family class D beta-lactamase OXA-544	NF000267.2	OXA-2 family class D beta-lactamase
gb|OPD39435.1|ARO:3005318|OXA-543	blaOXA-543	OXA-2 family class D beta-lactamase OXA-543	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEP	275	275	100.00	100.00	275	WP_058132644.1	OXA-2 family class D beta-lactamase OXA-543	NF000267.2	OXA-2 family class D beta-lactamase
gb|OTK94966.1|ARO:3001528|OXA-340	blaOXA-340	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-340	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_057053864.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-340	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|OWG16436.1|ARO:3004489|OXA-663	blaOXA-663	OXA-10 family class D beta-lactamase OXA-663	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_032410229.1	OXA-10 family class D beta-lactamase OXA-663	NF000386.2	OXA-10 family class D beta-lactamase
gb|PCE45447.1|ARO:3001531|OXA-343	blaOXA-343	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-343	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_063862714.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-343	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|PLT17746.1|ARO:3003599|OXA-443	blaOXA-443	OXA-22 family class D beta-lactamase OXA-443	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_045219048.1	OXA-22 family class D beta-lactamase OXA-443	NF033509.1	OXA-22 family class D beta-lactamase
gb|QBQ03037.1|ARO:3005160|OXA-812	blaOXA-812	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-812	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_034688190.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-812	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|QBQ03043.1|ARO:3005159|OXA-818	blaOXA-818	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-818	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_034670108.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-818	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|QBY97442.1|ARO:3003643|OXA-486	blaOXA-486	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003161965.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-486	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|QEE23059.1|ARO:3005060|OXA-837	blaOXA-837	class D beta-lactamase OXA-837	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	301	301	100.00	100.00	301	WP_148281568.1	class D beta-lactamase OXA-837	NF012161.0	class D beta-lactamase
gb|QEJ74001.1|ARO:3005316|OXA-838	blaOXA-838	OXA-2 family class D beta-lactamase OXA-838	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_150823470.1	OXA-2 family class D beta-lactamase OXA-838	NF000267.2	OXA-2 family class D beta-lactamase
gb|QEJ80883.1|ARO:3005130|OXA-846	blaOXA-846	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-846	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_033989974.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-846	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|QEJ80887.1|ARO:3005138|OXA-850	blaOXA-850	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-850	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_034006563.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-850	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|QHT72948.1|ARO:3005094|OXA-898	blaOXA-898	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-898	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	271	271	100.00	100.00	271	WP_154205589.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-898	NF000395.3	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
gb|QHT72949.1|ARO:3005093|OXA-899	blaOXA-899	OXA-22 family class D beta-lactamase OXA-899	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_154205474.1	OXA-22 family class D beta-lactamase OXA-899	NF033509.1	OXA-22 family class D beta-lactamase
gb|QIC04089.1|ARO:3005136|OXA-906	blaOXA-906	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-906	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_034005326.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-906	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|RFX69805.1|ARO:3001721|OXA-265	blaOXA-265	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-265	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_005088661.1	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase OXA-265	NF000418.2	OXA-214 family carbapenem-hydrolyzing class D beta-lactamase
gb|RIL13772.1|ARO:3001525|OXA-337	blaOXA-337	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-337	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_032025569.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-337	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|SNU87672.1|ARO:3001459|OXA-154	blaOXA-154	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-154	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	292	292	100.00	100.00	292	WP_063861062.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-154	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
gb|SUA76968.1|ARO:3001456|OXA-151	blaOXA-151	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-151	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	285	285	100.00	100.00	285	WP_048806429.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-151	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
gb|SUA92210.1|ARO:3001461|OXA-156	blaOXA-156	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-156	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	283	283	100.00	100.00	283	WP_052266736.1	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase OXA-156	NF000430.2	OXA-62 family carbapenem-hydrolyzing class D beta-lactamase
gb|TKV86805.1|ARO:3003645|OXA-488	blaOXA-488	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003097028.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-488	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_001021774.1|ARO:3006048|OXA-856	blaOXA-856	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-856	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_001021774.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-856	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_002121386.1|ARO:3005730|OXA-500	blaOXA-500	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-500	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_002121386.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-500	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_002783228.1|ARO:3001478|OXA-193	blaOXA-193	OXA-61 family class D beta-lactamase OXA-193	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002783228.1	OXA-61 family class D beta-lactamase OXA-193	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002791310.1|ARO:3005724|OXA-489	blaOXA-489	OXA-61 family class D beta-lactamase OXA-489	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002791310.1	OXA-61 family class D beta-lactamase OXA-489	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002812372.1|ARO:3005799|OXA-578	blaOXA-578	OXA-61 family class D beta-lactamase OXA-578	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002812372.1	OXA-61 family class D beta-lactamase OXA-578	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002824679.1|ARO:3005816|OXA-595	blaOXA-595	OXA-61 family class D beta-lactamase OXA-595	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002824679.1	OXA-61 family class D beta-lactamase OXA-595	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002837769.1|ARO:3005800|OXA-579	blaOXA-579	OXA-61 family class D beta-lactamase OXA-579	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002837769.1	OXA-61 family class D beta-lactamase OXA-579	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002857546.1|ARO:3005813|OXA-592	blaOXA-592	OXA-61 family class D beta-lactamase OXA-592	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002857546.1	OXA-61 family class D beta-lactamase OXA-592	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002889704.1|ARO:3005812|OXA-591	blaOXA-591	OXA-61 family class D beta-lactamase OXA-591	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_002889704.1	OXA-61 family class D beta-lactamase OXA-591	NF000435.2	OXA-61 family class D beta-lactamase
gb|WP_002936877.1|ARO:3005844|OXA-623	blaOXA-623	OXA-184 family class D beta-lactamase OXA-623	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	248	248	100.00	100.00	248	WP_002936877.1	OXA-184 family class D beta-lactamase OXA-623	NF000461.2	OXA-184 family class D beta-lactamase
gb|WP_003118452.1|ARO:3005727|OXA-494	blaOXA-494	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003118452.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_003122322.1|ARO:3006092|OXA-904	blaOXA-904	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-904	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003122322.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-904	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_003161096.1|ARO:3006093|OXA-905	blaOXA-905	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_003161096.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_005404206.1|ARO:3006012|OXA-813	blaOXA-813	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-813	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_005404206.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-813	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_005405613.1|ARO:3006013|OXA-814	blaOXA-814	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-814	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_005405613.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-814	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_006384924.1|ARO:3005702|OXA-114b	blaOXA-114b	class D beta-lactamase OXA-114b	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_006384924.1	class D beta-lactamase OXA-114b	NF033818.0	OXA-114 family class D beta-lactamase
gb|WP_007879679.1|ARO:3006105|OXA-919	blaOXA-919	class D beta-lactamase OXA-919	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_007879679.1	class D beta-lactamase OXA-919	NF038183.1	OXA-919 family class D beta-lactamase
gb|WP_010793618.1|ARO:3006040|OXA-847	blaOXA-847	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_010793618.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_012662081.1|ARO:3005726|OXA-493	blaOXA-493	class D beta-lactamase OXA-493	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	248	248	100.00	100.00	248	WP_012662081.1	class D beta-lactamase OXA-493	NF000462.2	OXA-493 family class D beta-lactamase
gb|WP_014206564.1|ARO:3005862|OXA-642	blaOXA-642	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-642	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_014206564.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-642	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_014603442.1|ARO:3006043|OXA-851	blaOXA-851	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-851	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_014603442.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-851	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_015649877.1|ARO:3001581|OXA-395	blaOXA-395	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_015649877.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_016162389.1|ARO:3005329|OXA-673	blaOXA-673	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-673	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_016162389.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-673	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_016651348.1|ARO:3005881|OXA-670	blaOXA-670	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-670	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	277	277	100.00	100.00	277	WP_016651348.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-670	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_016685888.1|ARO:3005922|OXA-715	blaOXA-715	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-715	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_016685888.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-715	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_016852290.1|ARO:3001582|OXA-396	blaOXA-396	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_016852290.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_019485147.1|ARO:3006041|OXA-848	blaOXA-848	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_019485147.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_020848173.1|ARO:3005725|OXA-491	blaOXA-491	class D beta-lactamase OXA-491	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	253	253	100.00	100.00	253	WP_020848173.1	class D beta-lactamase OXA-491	NF012161.0	class D beta-lactamase
gb|WP_023132404.1|ARO:3006101|OXA-914	blaOXA-914	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-914	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	262	262	100.00	100.00	262	WP_023132404.1	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-914	NF000432.2	OXA-50 family oxacillin-hydrolyzing class D beta-lactamase
gb|WP_023271137.1|ARO:3005327|OXA-672	blaOXA-672	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-672	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_023271137.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-672	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
gb|WP_024069684.1|ARO:3005706|OXA-114f	blaOXA-114f	class D beta-lactamase OXA-114f	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	275	275	100.00	100.00	275	WP_024069684.1	class D beta-lactamase OXA-114f	NF033818.0	OXA-114 family class D beta-lactamase
