allele,gene_family,refseq_protein_accession,refseq_nucleotide_accession,genbank_protein_accession,genbank_nucleotide_accession,product_name,enhanced_subclass,fasta_header,acc
blaOXA-517,blaOXA,WP_085562384.1,WP_085562384.1,AMO66558.1,KU878974.1,OXA-48 family class D beta-lactamase OXA-517,Carbapenemase,gb|WP_085562384.1|ARO:3005747|OXA-517 [Klebsiella pneumoniae] ,WP_085562384.1
blaOXA-519,blaOXA,WP_094009808.1,WP_094009808.1,ANI25017.1,KX349732.1,OXA-48 family class D beta-lactamase OXA-519,Carbapenemase,gb|WP_094009808.1|ARO:3005749|OXA-519 [Klebsiella pneumoniae] ,WP_094009808.1
blaOXA-538,blaOXA,WP_071593227.1,WP_071593227.1,APB92846.1,KX827284.1,OXA-48 family class D beta-lactamase OXA-538,Carbapenemase,gb|WP_071593227.1|ARO:3005767|OXA-538 [Shewanella xiamenensis] ,WP_071593227.1
blaOXA-546,blaOXA,WP_087587945.1,WP_087587945.1,AQX43454.1,KY682756.1,OXA-48 family class D beta-lactamase OXA-546,Beta-lactamase (unknown spectrum),gb|WP_087587945.1|ARO:3005770|OXA-546 [Shewanella xiamenensis] ,WP_087587945.1
blaOXA-547,blaOXA,WP_085562403.1,WP_085562403.1,AQW34754.1,KY684124.1,OXA-48 family class D beta-lactamase OXA-547,Beta-lactamase (unknown spectrum),gb|WP_085562403.1|ARO:3005771|OXA-547 [Shewanella] ,WP_085562403.1
blaOXA-566,blaOXA,WP_094009811.1,WP_094009811.1,ASC55290.1,MF099636.1,OXA-48 family class D beta-lactamase OXA-566,Carbapenemase,gb|WP_094009811.1|ARO:3005790|OXA-566 [Escherichia coli] ,WP_094009811.1
blaOXA-567,blaOXA,WP_099156052.1,WP_099156052.1,ATJ25944.1,MG062673.1,OXA-48 family class D beta-lactamase OXA-567,Carbapenemase,gb|WP_099156052.1|ARO:3005791|OXA-567 [Klebsiella pneumoniae] ,WP_099156052.1
blaOXA-731,blaOXA,WP_116786833.1,WP_116786833.1,AXM05329.1,MH718729.1,OXA-48 family class D beta-lactamase OXA-731,Beta-lactamase (unknown spectrum),gb|WP_116786833.1|ARO:3005936|OXA-731 [Shewanella sp.] ,WP_116786833.1
blaOXA-788,blaOXA,WP_136512084.1,WP_136512084.1,QAT97596.1,MK416209.1,OXA-48 family class D beta-lactamase OXA-788,Beta-lactamase (unknown spectrum),gb|WP_136512084.1|ARO:3005991|OXA-788 [Providencia stuartii] ,WP_136512084.1
blaOXA-793,blaOXA,WP_136512085.1,WP_136512085.1,QBA86170.1,MK469978.1,OXA-48 family class D beta-lactamase OXA-793,Beta-lactamase (unknown spectrum),gb|WP_136512085.1|ARO:3005993|OXA-793 [Klebsiella pneumoniae] ,WP_136512085.1
blaOXA-833,blaOXA,WP_140423324.1,WP_140423324.1,QCY50072.1,MK976702.1,OXA-48 family class D beta-lactamase OXA-833,Beta-lactamase (unknown spectrum),gb|WP_140423324.1|ARO:3006030|OXA-833 [Klebsiella pneumoniae] ,WP_140423324.1
blaOXA-894,blaOXA,WP_144376393.1,WP_144376393.1,QFE31714.1,MN525568.1,OXA-48 family class D beta-lactamase OXA-894,Beta-lactamase (unknown spectrum),gb|WP_144376393.1|ARO:3006086|OXA-894 [Shewanella xiamenensis] ,WP_144376393.1
blaOXA-918,blaOXA,WP_179284333.1,WP_179284333.1,QJX44697.1,MT463291.1,OXA-48 family class D beta-lactamase OXA-918,Carbapenemase,gb|WP_179284333.1|ARO:3006104|OXA-918 [Klebsiella pneumoniae] ,WP_179284333.1
blaOXA-920,blaOXA,WP_179284336.1,WP_179284336.1,QKF95718.1,MT520791.1,OXA-48 family class D beta-lactamase OXA-920,Carbapenemase,gb|WP_179284336.1|ARO:3006106|OXA-920 [Klebsiella pneumoniae] ,WP_179284336.1
blaOXA-922,blaOXA,WP_188331876.1,WP_188331876.1,QKV50750.1,MT636504.1,OXA-48 family class D beta-lactamase OXA-922,Carbapenemase,gb|WP_188331876.1|ARO:3006108|OXA-922 [Enterobacter kobei] ,WP_188331876.1
blaOXA-923,blaOXA,WP_179284342.1,WP_179284342.1,QLC28678.1,MT675122.1,OXA-48 family class D beta-lactamase OXA-923,Carbapenemase,gb|WP_179284342.1|ARO:3006109|OXA-923 [Enterobacter kobei] ,WP_179284342.1
blaOXA-924,blaOXA,WP_179284345.1,WP_179284345.1,QLC28679.1,MT675123.1,OXA-48 family class D beta-lactamase OXA-924,Carbapenemase,gb|WP_179284345.1|ARO:3006110|OXA-924 [Citrobacter freundii] ,WP_179284345.1
blaOXA-929,blaOXA,WP_188331878.1,WP_188331878.1,QNL15887.1,MK989990.1,OXA-48 family class D beta-lactamase OXA-929,Carbapenemase,gb|WP_188331878.1|ARO:3006114|OXA-929 [Escherichia coli] ,WP_188331878.1
blaOXA-933,blaOXA,WP_231869591.1,WP_231869591.1,QOI60719.1,MW073108.1,OXA-48 family class D beta-lactamase OXA-933,Beta-lactamase (unknown spectrum),2165384329|WP_231869591.1|1|1|blaOXA-933|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-933,WP_231869591.1
blaOXA-934,blaOXA,WP_231869592.1,WP_231869592.1,QOI60720.1,MW073109.1,OXA-48 family class D beta-lactamase OXA-934,Beta-lactamase (unknown spectrum),2165384330|WP_231869592.1|1|1|blaOXA-934|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-934,WP_231869592.1
blaOXA-163,blaOXA,WP_063131934.1,WP_063131934.1,ADY06444.1,HQ700343.1,OXA-48 family extended-spectrum class D beta-lactamase OXA-163,ESBL,gb|ADY06444.1|ARO:3001783|OXA-163 [Enterobacter cloacae] ,ADY06444.1
blaOXA-405,blaOXA,WP_063862762.1,WP_063862762.1,AJA30430.1,KM589641.1,OXA-48 family extended-spectrum class D beta-lactamase OXA-405,ESBL,gb|AJA30430.1|ARO:3001596|OXA-405 [Serratia marcescens] ,AJA30430.1
blaOXA-439,blaOXA,WP_063864081.1,WP_063864081.1,AKR53961.1,KP727573.1,OXA-48 family extended-spectrum class D beta-lactamase OXA-439,Beta-lactamase (unknown spectrum),gb|AKR53961.1|ARO:3003595|OXA-439 [Escherichia coli] ,AKR53961.1
blaOXA-518,blaOXA,WP_063864216.1,WP_063864216.1,AMR98919.1,KU739134.1,OXA-493 family class D beta-lactamase OXA-518,Beta-lactamase (unknown spectrum),"gb|WP_063864216.1|ARO:3005748|OXA-518 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance] ",WP_063864216.1
blaOXA-129,blaOXA,WP_032492122.1,WP_032492122.1,CAP69660.1,AM932669.1,OXA-5 family class D beta-lactamase OXA-129,Beta-lactamase (unknown spectrum),gb|CAP69660.1|ARO:3001811|OXA-129 [Salmonella enterica subsp. enterica serovar Bredeney] ,CAP69660.1
blaOXA-1018,blaOXA,WP_223146972.1,WP_223146972.1,QYH55590.1,MZ672117.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018,Beta-lactamase (not ESBL or carbapenemase),2095804954|WP_223146972.1|1|1|blaOXA-1018|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1018,WP_223146972.1
blaOXA-1019,blaOXA,WP_196658681.1,WP_196658681.1,QYH55591.1,MZ672118.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019,Beta-lactamase (not ESBL or carbapenemase),1939744904|WP_196658681.1|1|1|blaOXA-1019|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1019,WP_196658681.1
blaOXA-1031,blaOXA,WP_223146973.1,WP_223146973.1,QYH55603.1,MZ672130.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031,Beta-lactamase (not ESBL or carbapenemase),2095804955|WP_223146973.1|1|1|blaOXA-1031|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1031,WP_223146973.1
blaOXA-1126,blaOXA,WP_256875614.1,WP_256875614.1,UTS94229.1,ON651476.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1126,Beta-lactamase (not ESBL or carbapenemase),2282573678|WP_256875614.1|1|1|blaOXA-1126|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1126,WP_256875614.1
blaOXA-1128,blaOXA,WP_256875615.1,WP_256875615.1,UTS94232.1,ON651479.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1128,Beta-lactamase (not ESBL or carbapenemase),2282573679|WP_256875615.1|1|1|blaOXA-1128|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1128,WP_256875615.1
blaOXA-1130,blaOXA,WP_256875616.1,WP_256875616.1,UTS94234.1,ON651481.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1130,Beta-lactamase (not ESBL or carbapenemase),2282573680|WP_256875616.1|1|1|blaOXA-1130|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1130,WP_256875616.1
blaOXA-1134,blaOXA,WP_256875617.1,WP_256875617.1,UTS94238.1,ON651485.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1134,Beta-lactamase (not ESBL or carbapenemase),2282573681|WP_256875617.1|1|1|blaOXA-1134|blaOXA-50_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-50_family_oxacillin-hydrolyzing_class_D_beta-lactamase_OXA-1134,WP_256875617.1
blaOXA-395,blaOXA,WP_015649877.1,WP_015649877.1,AAQ76280.1,AY306133.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-395,Beta-lactamase (not ESBL or carbapenemase),gb|WP_015649877.1|ARO:3001581|OXA-395 [Pseudomonas] ,WP_015649877.1
blaOXA-396,blaOXA,WP_016852290.1,WP_016852290.1,AAQ76282.1,AY306135.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-396,Beta-lactamase (not ESBL or carbapenemase),gb|WP_016852290.1|ARO:3001582|OXA-396 [Pseudomonas] ,WP_016852290.1
blaOXA-485,blaOXA,WP_033954903.1,WP_033954903.1,KSG40284.1,LLNM01000004.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-485,Beta-lactamase (not ESBL or carbapenemase),gb|KSG40284.1|ARO:3003642|OXA-485 [Pseudomonas aeruginosa] ,KSG40284.1
blaOXA-494,blaOXA,WP_003118452.1,WP_003118452.1,KSC07307.1,LLLB01000006.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-494,Beta-lactamase (not ESBL or carbapenemase),gb|WP_003118452.1|ARO:3005727|OXA-494 [Pseudomonas] ,WP_003118452.1
blaOXA-846,blaOXA,WP_033989974.1,WP_033989974.1,QEJ80883.1,MN370854.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-846,Beta-lactamase (not ESBL or carbapenemase),gb|QEJ80883.1|ARO:3005130|OXA-846 [Pseudomonas aeruginosa] ,QEJ80883.1
blaOXA-847,blaOXA,WP_010793618.1,WP_010793618.1,QEJ80884.1,MN370855.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-847,Beta-lactamase (not ESBL or carbapenemase),gb|WP_010793618.1|ARO:3006040|OXA-847 [Pseudomonas] ,WP_010793618.1
blaOXA-848,blaOXA,WP_019485147.1,WP_019485147.1,QEJ80885.1,MN370856.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-848,Beta-lactamase (not ESBL or carbapenemase),gb|WP_019485147.1|ARO:3006041|OXA-848 [Pseudomonas aeruginosa] ,WP_019485147.1
blaOXA-849,blaOXA,WP_150823477.1,WP_150823477.1,QEJ80886.1,MN370857.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-849,Beta-lactamase (not ESBL or carbapenemase),gb|WP_150823477.1|ARO:3006042|OXA-849 [Pseudomonas aeruginosa] ,WP_150823477.1
blaOXA-850,blaOXA,WP_034006563.1,WP_034006563.1,QEJ80887.1,MN370858.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-850,Beta-lactamase (not ESBL or carbapenemase),gb|QEJ80887.1|ARO:3005138|OXA-850 [Pseudomonas aeruginosa] ,QEJ80887.1
blaOXA-851,blaOXA,WP_014603442.1,WP_014603442.1,QEJ80888.1,MN370859.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-851,Beta-lactamase (not ESBL or carbapenemase),gb|WP_014603442.1|ARO:3006043|OXA-851 [Pseudomonas aeruginosa] ,WP_014603442.1
blaOXA-901,blaOXA,WP_031757092.1,WP_031757092.1,QIC04084.1,MT040739.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-901,Beta-lactamase (not ESBL or carbapenemase),gb|WP_031757092.1|ARO:3006089|OXA-901 [Pseudomonas aeruginosa] ,WP_031757092.1
blaOXA-902,blaOXA,WP_024916334.1,WP_024916334.1,QIC04085.1,MT040740.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-902,Beta-lactamase (not ESBL or carbapenemase),gb|WP_024916334.1|ARO:3006090|OXA-902 [Pseudomonas aeruginosa] ,WP_024916334.1
blaOXA-903,blaOXA,WP_164461291.1,WP_164461291.1,QIC04086.1,MT040741.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-903,Beta-lactamase (not ESBL or carbapenemase),gb|WP_164461291.1|ARO:3006091|OXA-903 [Pseudomonas aeruginosa] ,WP_164461291.1
blaOXA-904,blaOXA,WP_003122322.1,WP_003122322.1,QIC04087.1,MT040742.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-904,Beta-lactamase (not ESBL or carbapenemase),gb|WP_003122322.1|ARO:3006092|OXA-904 [Pseudomonas aeruginosa] ,WP_003122322.1
blaOXA-905,blaOXA,WP_003161096.1,WP_003161096.1,QIC04088.1,MT040743.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-905,Beta-lactamase (not ESBL or carbapenemase),gb|WP_003161096.1|ARO:3006093|OXA-905 [Pseudomonas] ,WP_003161096.1
blaOXA-906,blaOXA,WP_034005326.1,WP_034005326.1,QIC04089.1,MT040744.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-906,Beta-lactamase (not ESBL or carbapenemase),gb|QIC04089.1|ARO:3005136|OXA-906 [Pseudomonas aeruginosa] ,QIC04089.1
blaOXA-907,blaOXA,WP_164461292.1,WP_164461292.1,QIC04090.1,MT040745.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-907,Beta-lactamase (not ESBL or carbapenemase),gb|WP_164461292.1|ARO:3006094|OXA-907 [Pseudomonas aeruginosa] ,WP_164461292.1
blaOXA-908,blaOXA,WP_031694184.1,WP_031694184.1,QIC04091.1,MT040746.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-908,Beta-lactamase (not ESBL or carbapenemase),gb|WP_031694184.1|ARO:3006095|OXA-908 [Pseudomonas aeruginosa] ,WP_031694184.1
blaOXA-913,blaOXA,WP_031691948.1,WP_031691948.1,QIM59620.1,MT210601.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-913,Beta-lactamase (not ESBL or carbapenemase),gb|WP_031691948.1|ARO:3006100|OXA-913 [Pseudomonas] ,WP_031691948.1
blaOXA-914,blaOXA,WP_023132404.1,WP_023132404.1,QIM59621.1,MT210602.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-914,Beta-lactamase (not ESBL or carbapenemase),gb|WP_023132404.1|ARO:3006101|OXA-914 [Pseudomonas aeruginosa] ,WP_023132404.1
blaOXA-937,blaOXA,WP_034081711.1,WP_034081711.1,BCN28654.1,LC595283.1,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-937,Beta-lactamase (not ESBL or carbapenemase),gb|WP_034081711.1|ARO:3006117|OXA-937 [Pseudomonas aeruginosa] ,WP_034081711.1
blaOXA-100,blaOXA,WP_001021795.1,WP_001021795.1,CAJ77817.2,AM231720.2,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-100,Carbapenemase (OXA-51 family),gb|CAJ77817.2|ARO:3001438|OXA-100 [Acinetobacter baumannii] ,CAJ77817.2
blaOXA-1013,blaOXA,WP_219860726.1,WP_219860726.1,QWW93433.1,MZ424303.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013,Carbapenemase (OXA-51 family),2075919576|WP_219860726.1|1|1|blaOXA-1013|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1013,WP_219860726.1
blaOXA-1048,blaOXA,WP_240067728.1,WP_240067728.1,UHO07586.1,OL901275.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1048,Carbapenemase (OXA-51 family),2201559187|WP_240067728.1|1|1|blaOXA-1048|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1048,WP_240067728.1
blaOXA-1058,blaOXA,WP_242934079.1,WP_242934079.1,ULU82603.1,OM617740.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1058,Carbapenemase (OXA-51 family),2214661640|WP_242934079.1|1|1|blaOXA-1058|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1058,WP_242934079.1
blaOXA-1059,blaOXA,WP_242934080.1,WP_242934080.1,ULU82604.1,OM617741.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1059,Carbapenemase (OXA-51 family),2214661641|WP_242934080.1|1|1|blaOXA-1059|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1059,WP_242934080.1
blaOXA-106,blaOXA,WP_031963705.1,WP_031963705.1,ABV31686.1,EF650032.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-106,Carbapenemase (OXA-51 family),gb|ABV31686.1|ARO:3001637|OXA-106 [Acinetobacter baumannii] ,ABV31686.1
blaOXA-1060,blaOXA,WP_242934081.1,WP_242934081.1,ULU82605.1,OM617742.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1060,Carbapenemase (OXA-51 family),2214661642|WP_242934081.1|1|1|blaOXA-1060|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1060,WP_242934081.1
blaOXA-1061,blaOXA,WP_242934082.1,WP_242934082.1,ULU82606.1,OM617743.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1061,Carbapenemase (OXA-51 family),2214661643|WP_242934082.1|1|1|blaOXA-1061|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1061,WP_242934082.1
blaOXA-1062,blaOXA,WP_242934083.1,WP_242934083.1,ULU82607.1,OM617744.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1062,Carbapenemase (OXA-51 family),2214661644|WP_242934083.1|1|1|blaOXA-1062|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1062,WP_242934083.1
blaOXA-1063,blaOXA,WP_242934084.1,WP_242934084.1,ULU82608.1,OM617745.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1063,Carbapenemase (OXA-51 family),2214661645|WP_242934084.1|1|1|blaOXA-1063|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1063,WP_242934084.1
blaOXA-1064,blaOXA,WP_242934085.1,WP_242934085.1,ULU82609.1,OM617746.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1064,Carbapenemase (OXA-51 family),2214661646|WP_242934085.1|1|1|blaOXA-1064|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1064,WP_242934085.1
blaOXA-1065,blaOXA,WP_242934086.1,WP_242934086.1,ULU82610.1,OM617747.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1065,Carbapenemase (OXA-51 family),2214661647|WP_242934086.1|1|1|blaOXA-1065|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1065,WP_242934086.1
blaOXA-1066,blaOXA,WP_242934087.1,WP_242934087.1,ULU82612.1,OM617749.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1066,Carbapenemase (OXA-51 family),2214661648|WP_242934087.1|1|1|blaOXA-1066|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1066,WP_242934087.1
blaOXA-1067,blaOXA,WP_242934088.1,WP_242934088.1,ULU82615.1,OM617752.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1067,Carbapenemase (OXA-51 family),2214661649|WP_242934088.1|1|1|blaOXA-1067|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1067,WP_242934088.1
blaOXA-1068,blaOXA,WP_242934089.1,WP_242934089.1,ULU82617.1,OM617754.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1068,Carbapenemase (OXA-51 family),2214661650|WP_242934089.1|1|1|blaOXA-1068|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1068,WP_242934089.1
blaOXA-1069,blaOXA,WP_242934090.1,WP_242934090.1,ULU82618.1,OM617755.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1069,Carbapenemase (OXA-51 family),2214661651|WP_242934090.1|1|1|blaOXA-1069|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1069,WP_242934090.1
blaOXA-107,blaOXA,WP_046661070.1,WP_046661070.1,ABV31687.1,EF650033.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-107,Carbapenemase (OXA-51 family),gb|ABV31687.1|ARO:3001638|OXA-107 [Acinetobacter baumannii A424] ,ABV31687.1
blaOXA-1070,blaOXA,WP_242934091.1,WP_242934091.1,ULU82619.1,OM617756.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1070,Carbapenemase (OXA-51 family),2214661652|WP_242934091.1|1|1|blaOXA-1070|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1070,WP_242934091.1
blaOXA-1071,blaOXA,WP_242934092.1,WP_242934092.1,ULU82620.1,OM617757.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1071,Carbapenemase (OXA-51 family),2214661653|WP_242934092.1|1|1|blaOXA-1071|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1071,WP_242934092.1
blaOXA-1072,blaOXA,WP_242934093.1,WP_242934093.1,ULU82621.1,OM617758.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1072,Carbapenemase (OXA-51 family),2214661654|WP_242934093.1|1|1|blaOXA-1072|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1072,WP_242934093.1
blaOXA-1073,blaOXA,WP_242934094.1,WP_242934094.1,ULU82622.1,OM617759.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1073,Carbapenemase (OXA-51 family),2214661655|WP_242934094.1|1|1|blaOXA-1073|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1073,WP_242934094.1
blaOXA-1074,blaOXA,WP_242934095.1,WP_242934095.1,ULU82623.1,OM617760.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1074,Carbapenemase (OXA-51 family),2214661656|WP_242934095.1|1|1|blaOXA-1074|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1074,WP_242934095.1
blaOXA-1075,blaOXA,WP_242934096.1,WP_242934096.1,ULU82624.1,OM617761.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1075,Carbapenemase (OXA-51 family),2214661657|WP_242934096.1|1|1|blaOXA-1075|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1075,WP_242934096.1
blaOXA-1077,blaOXA,WP_242934097.1,WP_242934097.1,ULU82626.1,OM617763.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1077,Carbapenemase (OXA-51 family),2214661658|WP_242934097.1|1|1|blaOXA-1077|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1077,WP_242934097.1
blaOXA-1078,blaOXA,WP_242934098.1,WP_242934098.1,ULU82627.1,OM617764.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1078,Carbapenemase (OXA-51 family),2214661659|WP_242934098.1|1|1|blaOXA-1078|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1078,WP_242934098.1
blaOXA-1079,blaOXA,WP_242934099.1,WP_242934099.1,ULU82628.1,OM617765.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1079,Carbapenemase (OXA-51 family),2214661660|WP_242934099.1|1|1|blaOXA-1079|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-1079,WP_242934099.1
blaOXA-108,blaOXA,WP_063860938.1,WP_063860938.1,ABV31688.1,EF650034.1,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-108,Carbapenemase (OXA-51 family),gb|ABV31688.1|ARO:3001639|OXA-108 [Acinetobacter baumannii] ,ABV31688.1
